Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
find,4018.07,4013.65,4002.4,3958.77,3931.95,3897.41
price,1867.56,1848.74,1876.4,1881.33,1902.38,1909.25
date,2253.15,2186.54,2198.69,2160.48,2155.98,2139.09
back,4565.83,4590.24,4616.29,4580.34,4549.28,4551.7
top,5278.35,5235.89,5197.87,5112.56,5067.33,4999.9
people,8519.2,8538.17,8625.15,8666.44,8586.7,8592.39
had,20147.26,20732.22,21280.97,21725.0,22150.77,22432.91
list,5485.37,5424.76,5355.38,5397.25,5375.99,5316.32
name,7390.03,7297.63,7292.36,7303.88,7300.09,7284.57
just,3959.41,3987.03,3945.05,3962.73,3928.85,3875.19
over,16750.28,16790.95,16875.51,16910.58,16960.9,16975.61
state,9163.57,9117.25,9059.72,9016.76,8993.86,9000.75
year,8152.58,8239.47,8352.94,8418.91,8597.56,8669.0
day,4803.05,4848.17,4878.0,4866.62,4864.92,4875.79
into,20032.53,20124.85,20230.09,20314.21,20315.86,20337.49
email,2520.56,2458.61,2455.56,2433.31,2403.38,2394.22
two,21932.01,22010.2,22011.18,22008.9,21953.79,22034.51
health,2896.66,2891.26,2879.63,2925.98,2985.03,2981.86
n,6760.32,6599.57,6435.34,6127.95,5973.15,5911.62
world,12245.7,12228.17,12083.94,11958.56,11912.19,11784.17
re,3133.02,3168.32,3185.76,3142.66,3106.01,3092.95
next,4016.34,4061.91,3998.36,3980.12,3977.71,3979.39
used,30362.36,30550.04,30590.29,30725.16,30911.97,30932.59
go,2844.04,2887.1,2857.01,2824.76,2799.67,2785.73
b,7126.07,6884.12,6716.44,6569.22,6493.54,6497.73
work,11294.23,11253.04,11263.26,11257.9,11239.8,11218.75
last,3197.72,3197.45,3223.73,3206.72,3214.58,3239.29
most,14132.24,14142.64,14144.51,14087.41,14082.13,13996.82
products,5264.55,5155.18,5062.17,5027.94,5002.96,4926.35
music,6036.59,6079.56,6062.16,6105.81,6116.63,6070.22
buy,899.71,873.62,874.79,873.84,866.27,851.96
data,36675.84,36661.21,36457.78,36541.53,36415.15,36440.45
make,6476.52,6458.96,6462.0,6446.65,6404.35,6375.14
them,10975.93,11057.52,11140.48,11208.08,11225.06,11161.29
