Word,Frequency 2020-01-01,Frequency 2024-11-01,Growth Rate (%)
cameroon,2.0,104.75,5137.5
offshore,1.0,49.62,4862.0
fighters,1.0,36.47,3547.0
restrictions,2.0,70.82,3441.0
midnight,1.0,34.35,3335.0
infections,1.0,33.93,3293.0
virus,1.0,29.26,2826.0
vehicle,1.0,24.17,2317.0
ruled,1.0,24.17,2317.0
officers,1.0,22.05,2105.0
injured,6.0,126.38,2006.33
hyundai,1.0,19.93,1893.0
nursing,1.0,17.39,1639.0
adults,2.0,32.23,1511.5
passes,1.0,13.57,1257.0
cases,9.0,115.35,1181.67
effective,1.0,11.87,1087.0
oct,2.0,23.33,1066.5
certificate,1.0,11.45,1045.0
thousands,1.0,11.45,1045.0
parking,1.0,11.45,1045.0
flights,1.0,11.45,1045.0
airlines,1.0,11.45,1045.0
gathered,1.0,11.03,1003.0
jul,2.0,22.05,1002.5
michelle,1.0,10.6,960.0
shooting,13.0,135.29,940.69
sep,2.0,20.36,918.0
indonesian,5.0,49.62,892.4
killed,21.0,200.6,855.24
shops,1.0,9.33,833.0
hop,1.0,9.33,833.0
organisations,9.0,83.97,833.0
remix,2.0,18.24,812.0
latest,1.0,8.91,791.0
essential,1.0,8.91,791.0
toll,1.0,8.91,791.0
swimming,1.0,8.91,791.0
wearing,1.0,8.91,791.0
accessed,11.0,94.57,759.73
announces,4.0,33.93,748.25
guidelines,1.0,8.48,748.0
argument,2.0,16.96,748.0
vehicles,1.0,8.48,748.0
household,1.0,8.48,748.0
considering,1.0,8.48,748.0
victim,1.0,8.48,748.0
shield,1.0,8.48,748.0
frontier,1.0,8.48,748.0
banned,1.0,8.48,748.0
du,6.0,50.47,741.17
emergency,5.0,41.99,739.8
irish,19.0,158.61,734.79
apartment,2.0,16.54,727.0
feb,3.0,24.6,720.0
smart,1.0,8.06,706.0
crowd,1.0,8.06,706.0
nov,3.0,24.17,705.67
arrested,5.0,39.86,697.2
pop,10.0,78.88,688.8
ie,4.0,31.38,684.5
cork,2.0,15.69,684.5
talks,2.0,15.27,663.5
signs,1.0,7.63,663.0
kerry,1.0,7.63,663.0
advice,1.0,7.21,621.0
patient,1.0,7.21,621.0
legislation,1.0,7.21,621.0
afternoon,1.0,7.21,621.0
centres,1.0,7.21,621.0
juvenile,1.0,7.21,621.0
tsunami,1.0,7.21,621.0
kyle,1.0,7.21,621.0
korea,5.0,36.05,621.0
cancelled,4.0,27.99,599.75
says,5.0,34.78,595.6
alaska,1.0,6.79,579.0
imposed,1.0,6.79,579.0
penalties,1.0,6.79,579.0
warned,1.0,6.79,579.0
rise,2.0,13.57,578.5
compilation,4.0,25.87,546.75
soldiers,6.0,38.17,536.17
finance,2.0,12.72,536.0
warning,2.0,12.72,536.0
dj,1.0,6.36,536.0
alert,1.0,6.36,536.0
injury,3.0,19.08,536.0
tea,1.0,6.36,536.0
nh,2.0,12.72,536.0
sitting,1.0,6.36,536.0
arctic,1.0,6.36,536.0
suspected,3.0,19.08,536.0
swift,1.0,6.36,536.0
practitioner,1.0,6.36,536.0
confirmed,13.0,81.85,529.62
mitchell,3.0,18.66,522.0
ireland,27.0,167.52,520.44
contact,2.0,12.3,515.0
jun,4.0,24.6,515.0
observed,2.0,12.3,515.0
injuries,2.0,12.3,515.0
earthquake,6.0,36.9,515.0
billion,4.0,24.17,504.25
option,1.0,5.94,494.0
announcement,1.0,5.94,494.0
shoot,1.0,5.94,494.0
mandatory,1.0,5.94,494.0
dozens,1.0,5.94,494.0
contributor,2.0,11.87,493.5
toyota,4.0,23.33,483.25
concerns,3.0,17.39,479.67
suffered,3.0,17.39,479.67
news,34.0,195.08,473.76
believe,2.0,11.45,472.5
crisis,4.0,22.9,472.5
pubs,2.0,11.45,472.5
aug,3.0,16.96,465.33
prison,3.0,16.96,465.33
indie,3.0,16.96,465.33
welfare,4.0,22.48,462.0
caused,5.0,27.99,459.8
movements,2.0,11.03,451.5
positive,7.0,38.59,451.29
enter,1.0,5.51,451.0
notice,1.0,5.51,451.0
moment,1.0,5.51,451.0
roll,1.0,5.51,451.0
wear,1.0,5.51,451.0
increasing,1.0,5.51,451.0
fiscal,1.0,5.51,451.0
effectively,1.0,5.51,451.0
que,1.0,5.51,451.0
lift,1.0,5.51,451.0
mask,1.0,5.51,451.0
delayed,1.0,5.51,451.0
cumulative,1.0,5.51,451.0
breach,1.0,5.51,451.0
chevy,1.0,5.51,451.0
recent,3.0,16.12,437.33
morning,13.0,69.55,435.0
cabinet,5.0,26.72,434.4
massive,2.0,10.6,430.0
infection,2.0,10.6,430.0
panel,3.0,15.69,423.0
ago,1.0,5.09,409.0
someone,2.0,10.18,409.0
thursday,5.0,25.45,409.0
testing,4.0,20.36,409.0
businesses,3.0,15.27,409.0
agree,1.0,5.09,409.0
serial,1.0,5.09,409.0
constitution,1.0,5.09,409.0
ill,1.0,5.09,409.0
sm,1.0,5.09,409.0
graham,2.0,10.18,409.0
hosts,3.0,15.27,409.0
cameron,1.0,5.09,409.0
robots,1.0,5.09,409.0
stake,1.0,5.09,409.0
say,3.0,14.84,394.67
box,2.0,9.75,387.5
reports,3.0,14.42,380.67
caught,3.0,14.42,380.67
dies,6.0,28.84,380.67
economy,4.0,19.08,377.0
damage,6.0,28.41,373.5
virtual,1.0,4.67,367.0
slow,1.0,4.67,367.0
export,1.0,4.67,367.0
trouble,1.0,4.67,367.0
orleans,1.0,4.67,367.0
portugal,1.0,4.67,367.0
possibility,1.0,4.67,367.0
abroad,1.0,4.67,367.0
sentence,1.0,4.67,367.0
flood,1.0,4.67,367.0
stroke,1.0,4.67,367.0
lil,1.0,4.67,367.0
travelers,1.0,4.67,367.0
ghana,1.0,4.67,367.0
bullet,1.0,4.67,367.0
defend,1.0,4.67,367.0
holly,1.0,4.67,367.0
fears,1.0,4.67,367.0
viral,1.0,4.67,367.0
recovered,1.0,4.67,367.0
hospitals,2.0,9.33,366.5
plane,2.0,9.33,366.5
concluded,2.0,9.33,366.5
corruption,2.0,9.33,366.5
agency,11.0,50.47,358.82
apr,4.0,18.24,356.0
expected,4.0,18.24,356.0
restaurants,3.0,13.57,352.33
pakistan,7.0,31.38,348.29
ratings,2.0,8.91,345.5
tells,2.0,8.91,345.5
defence,2.0,8.91,345.5
responded,2.0,8.91,345.5
ball,4.0,17.81,345.25
breaking,4.0,17.81,345.25
test,17.0,75.06,341.53
agreed,5.0,22.05,341.0
hip,3.0,13.15,338.33
carries,3.0,13.15,338.33
tokyo,21.0,91.6,336.19
measures,5.0,21.63,332.6
gathering,5.0,21.63,332.6
ahead,6.0,25.87,331.17
officials,6.0,25.45,324.17
application,1.0,4.24,324.0
necessary,1.0,4.24,324.0
traffic,3.0,12.72,324.0
skip,1.0,4.24,324.0
diet,1.0,4.24,324.0
yesterday,1.0,4.24,324.0
filed,1.0,4.24,324.0
ticket,1.0,4.24,324.0
operator,1.0,4.24,324.0
bowl,1.0,4.24,324.0
ryan,5.0,21.2,324.0
bang,1.0,4.24,324.0
investors,1.0,4.24,324.0
smoke,1.0,4.24,324.0
punk,1.0,4.24,324.0
ai,1.0,4.24,324.0
halloween,1.0,4.24,324.0
suicide,2.0,8.48,324.0
aimed,2.0,8.48,324.0
lauren,1.0,4.24,324.0
floyd,1.0,4.24,324.0
diane,1.0,4.24,324.0
jesse,1.0,4.24,324.0
pushed,1.0,4.24,324.0
idol,1.0,4.24,324.0
detective,1.0,4.24,324.0
b,57.0,240.89,322.61
km,26.0,109.84,322.46
travel,12.0,50.04,317.0
concern,3.0,12.3,310.0
falling,3.0,12.3,310.0
thumb,3.0,12.3,310.0
airport,5.0,20.36,307.2
featuring,12.0,48.77,306.42
powers,2.0,8.06,303.0
cycle,3.0,11.87,295.67
