year,Flesch Reading Ease_mean,Flesch Reading Ease_std,Flesch-Kincaid Grade Level_mean,Flesch-Kincaid Grade Level_std,Automated Readability Index (ARI)_mean,Automated Readability Index (ARI)_std,Coleman-Liau Index_mean,Coleman-Liau Index_std,Gunning Fog Index_mean,Gunning Fog Index_std,Dale-Chall Readability Score_mean,Dale-Chall Readability Score_std,Linsear Write Formula_mean,Linsear Write Formula_std,SMOG Index_mean,SMOG Index_std,Total Words_mean,Total Words_std,Syllable Count per word_mean,Syllable Count per word_std,Polysyllable Count per word_mean,Polysyllable Count per word_std,Difficult Words per word_mean,Difficult Words per word_std,Reading Time (seconds)_mean,Reading Time (seconds)_std
2020,68.66664201183431,12.13711658628838,7.347238658777121,2.4006674101288703,9.080917159763313,2.9825021276326753,9.38991617357002,2.241431647224785,8.792721893491123,2.4514964445287726,9.417130177514792,1.332354226073582,8.07645316824311,3.373457184500372,9.024161735700197,3.5256027468560074,138.0310650887574,115.13704547923277,1.4558376289263308,0.12746276860855674,0.11018032599418283,0.05184761424661794,0.18160083279110686,0.05943811074544451,2440.7698224852065,2046.4929454709638
2021,68.52599901332019,12.107222409693636,7.379279723729649,2.4078935824986116,9.139319190922546,3.0070578593762485,9.432599901332017,2.2601872916959582,8.819348791317218,2.4558793750186387,9.431702022693635,1.3356879146497584,8.098860682703801,3.3911741448490207,9.073606314750862,3.508524236595141,138.52442032560435,115.21661546995892,1.4570521900271767,0.12758365957136422,0.11046087473317728,0.05194007377908251,0.18205697580464034,0.05946164277530309,2452.0777503700047,2048.457189942208
2022,68.48680473372781,12.060693836336714,7.385305719921105,2.40479316121486,9.151183431952662,3.018323188319657,9.446183431952663,2.2633900708033963,8.832983234714005,2.455548417824259,9.439309664694282,1.3309078313005587,8.110846801675203,3.379088875006162,9.059023668639053,3.507033236903775,138.82248520710058,116.94346116969331,1.4575593693094984,0.12649926203461384,0.11075346520402507,0.05196718700332187,0.18228331296626848,0.0591985222991466,2462.9059171597632,2102.102393012746
2023,68.50146028613716,12.036939891574718,7.378490379871732,2.4113279654662687,9.13695115934879,2.9882099980061567,9.436235816477552,2.217486613307348,8.823413912185496,2.460794297858117,9.433704982733104,1.329453805633266,8.099986009303965,3.4014692436609915,9.071632955106068,3.47985167324389,139.56783423778984,119.01365244503718,1.4572411494919009,0.1260523763107686,0.11071900587671628,0.05162490692670175,0.1821596104188981,0.059198783769308726,2473.082782437099,2129.2931900689478
2024,68.41711538461539,11.857314163572442,7.411193293885601,2.383715505541924,9.174802761341223,2.941074179044559,9.449886587771203,2.1843834976674064,8.857061143984222,2.4267788510123554,9.42837278106509,1.3325274178336803,8.151843701991632,3.392972166567076,9.101380670611439,3.4973269187730645,141.08037475345168,118.77659938671553,1.4575031549552975,0.12412799058505149,0.11085686678140952,0.05113483860631617,0.18218661627038302,0.059238977831690076,2499.2786982248517,2120.0750489736424
2025,68.3624358974359,11.834010133488157,7.42189349112426,2.363255546485424,9.183875739644972,2.920323519856103,9.461360946745561,2.1833259281265547,8.876385601577908,2.410768986709733,9.435310650887573,1.3271392620085667,8.162053453066767,3.3711898756435144,9.137524654832347,3.4647833151156933,139.67948717948718,110.95282638408989,1.4579837894788668,0.12441173030403008,0.11102201468434274,0.05098360700422912,0.1824436413415216,0.058647601188836974,2476.2568047337277,1985.2738404703002
revised_gemini,51.599526393685245,13.98159185614624,10.583818450912679,2.54016202672366,13.714652195362603,3.118279927890687,12.89471139615195,2.6774440178996364,12.306541687222497,2.853837586825501,11.451031080414404,1.2983563808633194,11.623318300402662,3.806988155140231,9.690034533793783,5.617087116032037,108.92303897385298,88.89303329980277,1.6161558251255548,0.16327363232477451,0.1622090249666112,0.06500533390089659,0.27566436858427334,0.07519604146439875,2193.5686235816474,1857.8693537382953
revised_GPT,54.221240079365074,12.60140322840927,10.263392857142858,2.234242689028542,12.614781746031747,2.70449855036331,11.933204365079368,2.309650688444264,12.142584325396827,2.4207692557143385,10.744925595238096,1.0862723814812176,11.475915797716393,3.2118680261470964,10.749702380952382,4.707212133017281,135.15178571428572,104.5816706361011,1.5821611380212832,0.14026085351036452,0.15527137755185974,0.05644085601328028,0.25437272793821863,0.0629799213198391,2590.3303571428573,2062.7110770694676
