Year,Direct Ask,Ask with knowledge base,Ask with knowledge base(GPT revised),Ask with knowledge base(Gemini revised),Ask with full content,Ask with full content(GPT content),Ask with full content(Gemini content),Quesion number
2020,66.95%,72.70%,72.49%,68.97%,77.95%,79.31%,77.66%,348
2021,58.72%,73.79%,71.74%,68.21%,81.13%,79.53%,74.34%,453
2022,62.28%,74.11%,72.84%,69.53%,82.44%,82.25%,80.47%,393
2023,56.57%,73.24%,74.88%,67.14%,77.70%,79.69%,74.82%,426
2024,55.00%,71.67%,70.00%,65.00%,78.12%,80.52%,76.67%,240
