Category,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502
Art,3056.1647755742874,3025.697987216264,2935.329317313795,4065.6551605108734,3454.365528299576,3032.6746634449432,2824.4889596579333,2916.7032079904684,3428.288746979634,3523.527843041188,3447.272178115292,3114.983909940205,3234.9606934871445,3454.4007347502343,3690.2403487478705,3465.576113220573,3356.760219136593,2842.3106662064206,2805.3721313483356,2840.126660505306,3117.1630997583707,3327.087086752703,3302.61080428029,3079.026133820304,3241.61496319886,3885.0245944080084,3089.3572884073624,3027.038142906455,3052.797888805995,2822.7568173973077,2771.4485507811196,3150.9039384457787,3461.897825336555,3486.2395470286283,3593.378494994822,3054.014664781142,3264.33602057746,3363.8581784111643,3625.2264300110232,3208.282188470832,3295.5135457146994,3125.2279944770453,3096.611177302437,3196.9884307459333,3491.7084915429755,3539.2701014397544,3461.8484639282015,3347.171155923257,3927.252608371285,3701.984930903551,3543.030164686494,3527.6948567483605,3103.0683577004024,2733.3967897825337,2642.5078780050553,2744.94204237977,3025.313082499137,3008.193069582549,2995.0127718329304,2823.921242219426,2690.5241796296505,
Bio,3956.75569468318,4083.209665574108,4716.232540359338,4935.214137731002,4247.417029114326,3538.4644070605787,3398.8509050275748,3344.8562461739166,3751.82530869313,3876.3704798744643,3910.227231291953,3671.0251365360614,3711.3870406360184,4146.059915471948,4018.4041520863348,3899.428358332643,3723.5962916725703,3484.410789757189,3264.503832098739,3215.2118681447932,3434.0610756608935,3385.9737701061545,3393.0420982845776,3606.3414484183745,3506.0103401171423,3602.0956208786656,3405.494376826161,3395.132841634209,3425.647660775723,3147.3140797215547,3058.284176787132,3259.3736850969185,3598.8590370431757,3527.1553450225488,3752.559956907268,3091.5699441558822,3562.9431908403885,3619.6251583421135,3912.121274496962,3359.1580343084447,3967.0941811445236,3637.630645562277,3609.358394127412,3716.632190698706,3994.1899395044334,4082.4595738310563,3816.225076655341,3538.9459656701697,4441.324620332177,4043.356403757183,3931.236964582158,4119.129361067374,3733.1777949459597,3095.1253004060663,3004.3140583355835,3095.2958348147577,3303.6037954752633,3320.0901686016514,3199.8330156625507,2961.154949382079,2881.5198207855606,
Chem,3437.535147074077,3475.5270116029556,3379.557978486489,3866.35914507282,3463.4155353667247,3204.8621902780405,2957.191211553598,3072.084162614325,3398.164062795536,3562.789691086475,3485.821411008133,3230.391880266265,3244.8575995899864,3477.2029371234025,3494.6699207429056,3339.766067713259,3105.1396791887587,2940.5192736901836,2815.318486610493,2805.9520186458562,3041.450312086249,3036.2141955008333,2946.4309059958387,2774.9217130270845,2960.001012831229,3128.5256694317595,3062.902823114517,2932.8175524872327,2808.804944568845,2673.184792888216,2661.8778867215387,2931.263635087891,3295.4221675808585,3323.1425224378727,3478.3176092301874,2783.042252146165,3199.3636613238805,3380.136737009916,3615.775236886581,2907.857310383961,3180.5215958803396,3255.277964819368,3177.1655246892865,3312.194573421112,3594.3737847550597,3688.698133583897,3453.5105731038398,3217.9130795560623,4126.697401416744,3776.733914676858,3587.299901767574,3577.487611121619,3125.1220583659247,2709.2082466427087,2564.423070587015,2597.707755480576,2931.222091923586,3202.7549863633867,3302.9609608473615,3013.7368103137946,2763.000128129252,
CS,3719.27707988993,4199.745784476219,3655.6307128985545,4309.562478449762,3990.06062985645,3738.643197020895,4376.384832191773,4055.717492230792,3710.777291221295,3990.522744816264,4065.6916074753467,4146.7960496606465,4191.047336001299,3988.6596983459267,4082.592969116701,3768.5482035721675,3811.1394542311878,3303.9143852148127,3782.1722973499045,3646.3687265171925,4114.7403972139855,4004.820946720026,4093.108578718709,3859.4743299127313,4059.2502074384197,4468.291706483297,4139.897493165098,4023.154161781946,3830.3837110232666,3748.7612923246675,3962.7556386545093,3917.529936756308,4279.348148403558,4310.864845805962,5302.681952968761,3980.402297060714,4396.810720506483,4100.279820603506,4383.196398023718,3931.380663402524,4456.824067750611,4717.721467485001,5134.8132164411345,4288.747694819712,4228.037549134542,4359.177665166585,4417.849044893455,4544.155219551044,5449.421708402757,4703.801343070276,4586.296339963206,4398.379215226536,3781.1084218885912,3303.2190538583545,3243.125357316848,3375.489009656731,3565.2671195089993,3653.4491725820913,3602.9774153506655,3324.4653316456483,3748.143665286709,
Featured,24055.207091418986,45034.87383438031,41522.322326977555,36552.42653269259,27597.743062895475,24496.8246687054,23591.69027184712,22979.657971504672,23492.504441531964,24098.08382305275,29493.50138342799,26899.090178835664,26764.19030707873,25598.267958559576,26423.89830747333,27862.08256880734,25321.310334136615,22830.929809232563,23012.767513634637,22764.398737299,23284.77107907383,22750.24126608323,22931.591524683266,23549.4059950112,24491.878972364324,24795.488672533236,23630.92165898618,23247.42784330858,23084.759227159346,22834.51012086792,23615.067010527204,25267.701489592582,39643.53283821174,28598.05958370327,30147.350225717197,25475.25134232444,28080.759452641665,28827.353335829746,28896.09577361575,26062.081695063345,30589.689679956027,28328.348041357214,32136.495722882228,29097.619188545494,32109.889471384886,48553.682267224736,48111.75054609,42790.666441184345,32922.51271861215,31026.56226932405,30271.07512789075,29198.008009319936,25250.152200566525,23220.699140818408,23402.946772079653,24354.282050198002,22743.003203727974,24182.96960216463,30532.81345565749,29773.69776913429,27275.83731450556,
Math,3315.1169865251127,3334.0651462243563,3162.440894242548,3896.1472573839665,3567.571253572887,3121.095147679325,3186.1887505104123,3420.570641077991,3667.7521097046415,3831.836668027766,3680.2490506329113,3426.919559003675,3412.028481012658,3662.069168173598,3795.9907104940785,3493.252004219409,3280.7234585545125,3015.8194092827002,2873.4441608819925,2936.6613924050635,3356.220253164557,3420.433135973867,3334.198734177215,3124.1812984891794,3238.025010208248,3441.3780515370704,3244.9540628828095,3209.6397679324896,3094.7991016741526,2918.1725738396626,2816.0494079216005,3010.7019191506733,3599.2976793248945,3676.6676194365036,3779.8681434599157,3098.7061045324626,5478.18670886076,3564.8115958408684,3775.372601061658,3276.6022151898733,3400.7711310739082,3341.359493670886,3338.8118619844836,3441.9272151898736,3840.7164556962025,3938.420579828502,3846.2554852320677,3626.7455083707637,4622.348101265824,4269.495635093846,4022.9717231523073,4013.876160337553,3441.7946100449167,2992.8509493670886,2797.6392405063293,2839.464985708453,3210.9444092827002,3377.4222131482234,3240.1599156118145,2988.011229073091,2934.7783789301757,
Philosophy,5231.71396429465,5208.940073523723,4757.82186203003,6015.379383293801,5543.325440629983,5177.308737739599,4899.415305778493,4968.0414170469985,5559.43002756587,5435.390544058862,5498.040771844349,5306.976543161369,5450.936205588034,5460.788443398386,5457.255469229831,5138.470414770178,5097.465656400638,4542.266619655106,4491.854068395616,4745.197603651185,5092.570869927559,4906.138193308503,4725.888133854734,4777.5924221776,4873.36326356735,5229.6843433187105,4884.65747390755,4862.626450413488,4876.5219648075035,4445.717353676518,4428.854434424043,4842.6544091949645,5243.778575549714,5129.326445657187,5453.747547919738,4657.872092710658,5194.481180555412,5523.450564596631,6149.890005356009,5272.235271491762,5340.358645818901,5582.7688954420155,6185.654208603116,5956.506206973565,6000.064940060261,5864.015600669191,7683.084749022373,5822.0099303305215,6524.109217092079,6367.4743518041605,6022.858847444729,6698.79915379191,5460.900678083169,4860.228347971024,4594.312683401956,5084.193713823674,5215.635233027758,5209.710878902494,5310.793961151356,4740.6318643254635,4600.698638663769,
Phy,3677.500169325592,3673.474932699713,3396.5244536940686,4105.084128650506,3805.464506277361,3349.5283451040273,3228.6222900208736,3332.7756312765914,3867.5190876121396,3944.8398949565603,3840.8272571101356,3700.0393758966557,3654.8936789217346,3817.2833215171922,3880.528141913318,3668.159429280397,3486.4015233145947,3221.143968314564,3073.1634330609754,3072.977882999095,3336.7894159190687,3357.8988233410705,3397.0494369154417,3160.243628739787,3407.6233306036,3549.999625064761,3310.1128478101577,3190.2112998663865,3128.00950070501,2974.9873544569573,3055.299737083536,3215.1555948254104,3504.890198511166,3569.472350670222,3793.4935102118725,3250.980610680442,3515.939402988751,3699.165939519538,3811.2765456347856,3203.7257587325826,3558.404506523653,3557.8726379079976,4975.586466882993,4431.888857760346,4267.92627409811,3907.1445086171334,3948.3615670929566,3745.9321681680203,4684.13543892272,4371.183744594586,4107.257248674642,4326.631275052491,3813.8287133102235,3145.3511643443403,2951.6484154203276,2953.9316324834217,3201.383040656614,3391.5573644317747,3286.3344626837184,3169.2208252005735,3077.383149948587,
simple,774.7539288668322,862.9017462422636,666.324958643507,789.2051282051282,609.9679487179487,513.2831196581196,444.0725806451613,387.25547973531843,538.2094017094017,504.6867245657569,533.1869658119658,563.2278742762613,558.8084160463193,606.8790064102565,529.7254962779157,478.78792735042737,408.77688172043014,346.6105769230769,342.2942514474772,331.8336435070306,388.8525641025641,407.6530190239868,397.63034188034186,374.401364764268,361.9478908188585,421.7960164835165,405.1638751033912,365.59882478632477,407.7434863523573,411.7916666666667,364.08757237386266,339.03691066997527,465.8392094017094,367.7822580645161,405.94284188034186,351.3482216708023,650.9889371381307,422.62362637362634,451.9830438378825,449.42628205128204,556.9995864350703,518.0699786324786,540.5469396195202,488.64092224979316,409.4807692307692,455.0935690653432,492.7767094017094,610.1881720430107,684.8433622828785,714.8016136162688,751.285153019024,740.6458333333334,637.2503101736972,578.071047008547,729.0441480562448,514.04052936311,505.2435897435897,504.16149710504544,636.0480769230769,577.2415219189412,968.75,21.01991758241758
