Date,de,en,es,fr,CS
20180101,219.0666973321067,854.6756105951152,404.88190476190476,212.6221453287197,
20180102,233.491260349586,850.281217750258,483.3514285714286,276.0553633217993,
20180103,250.52391904323827,803.2862057103544,477.83809523809526,242.25328719723183,
20180104,232.22677092916283,801.8998968008256,480.4104761904762,242.94256055363323,
20180105,232.61775528978842,829.9122807017544,459.10857142857145,232.29342560553633,
20180106,248.61913523459063,842.843997248022,461.5847619047619,236.28373702422147,
20180107,265.0630174793008,891.9198486412108,534.2590476190476,315.3107266435986,
20180108,252.89696412143513,926.9969040247678,575.5371428571428,258.92179930795845,
20180109,263.1798528058878,845.1819745442036,605.927619047619,270.7557093425606,
20180110,254.2327506899724,831.1054351565188,623.3561904761905,248.639446366782,
20180111,264.8923643054278,840.1640866873065,618.0190476190476,221.56678200692042,
20180112,238.38592456301748,815.6004471964225,545.1638095238095,216.8553633217993,
20180113,228.5450781968721,849.1303749570003,494.7809523809524,219.19861591695502,
20180114,261.4728610855566,895.5077399380805,599.1038095238096,259.7134948096886,
20180115,270.0395584176633,1029.5331957344342,618.2780952380953,242.02491349480968,
20180116,288.4576816927323,947.8730650154798,618.3876190476191,243.85397923875433,
20180117,257.3196872125115,845.1362229102167,619.0819047619048,230.6401384083045,
20180118,254.96596136154554,1166.9238046095631,608.6514285714286,219.94048442906575,
20180119,227.97010119595217,943.8099415204679,550.7333333333333,201.50588235294117,
20180120,212.61315547378103,813.6690746474028,499.7838095238095,217.4553633217993,
20180121,261.548758049678,887.6197110423117,576.7019047619048,241.58269896193772,
20180122,279.2502299908004,934.7046783625731,653.7790476190477,231.9128027681661,
20180123,266.3155473781049,909.4762641898865,666.9428571428572,232.1757785467128,
20180124,258.3854645814167,938.7131062951496,648.6352380952382,233.26020761245675,
20180125,361.09567617295306,838.8716890264878,616.092380952381,213.84567474048444,
20180126,229.61913523459063,819.8099415204679,526.287619047619,201.24636678200693,
20180127,220.6264949402024,772.4587203302374,506.4942857142857,209.37024221453288,
20180128,319.8201471941122,853.4979360165119,585.6333333333333,241.20415224913495,
20180129,285.45584176632934,918.062091503268,628.4095238095238,222.8567474048443,
20180130,294.2792088316467,816.1236670106639,631.2285714285714,219.69757785467127,
20180131,250.02621895124196,827.7578259373925,651.9457142857143,221.40761245674742,
20180201,248.42870285188593,835.3028895768833,623.4095238095238,206.43044982698962,
20180202,249.85188592456302,768.3003095975232,556.8333333333334,195.13840830449826,
20180203,220.89098436062557,742.5884072927416,508.5361904761905,221.23598615916956,
20180204,245.78748850045997,843.0478156174751,591.4419047619048,251.32871972318338,
20180205,259.8242870285189,916.1372549019608,694.0580952380952,237.66920415224914,
20180206,256.28978840846366,873.483488132095,668.8,231.3114186851211,
20180207,242.15041398344067,807.6869625042999,705.6552380952381,235.21453287197232,
20180208,279.95216191352347,814.0254557963536,810.1961904761905,228.61799307958478,
20180209,241.0666973321067,770.702098383213,578.6104761904762,206.03737024221454,
20180210,220.5832566697332,745.3161334709322,491.36761904761903,204.5612456747405,
20180211,242.6890524379025,834.1052631578947,586.7114285714285,240.4249134948097,
20180212,246.3794848206072,861.1267629858961,648.7666666666667,218.9937716262976,
20180213,259.38178472861085,796.4408324733403,674.472380952381,214.42076124567475,
20180214,234.81646734130635,760.4446164430684,601.7009523809523,200.51072664359862,
20180215,238.41214351425944,778.3309253525972,617.2438095238095,203.8311418685121,
20180216,262.754369825207,756.0734434124527,570.8419047619047,193.0705882352941,
20180217,231.2506899724011,736.6633986928105,514.6047619047619,192.50657439446366,
20180218,261.7681692732291,888.1792225662194,635.0390476190477,224.77716262975778,
20180219,268.2980680772769,883.0509115927073,688.3295238095238,215.70865051903115,
20180220,252.1292548298068,839.4026487788097,702.1447619047619,219.4242214532872,
20180221,257.15915363385466,868.0178878568971,714.1828571428572,207.91072664359862,
20180222,238.2327506899724,821.7106983144134,678.292380952381,200.58269896193772,
20180223,254.1853725850966,808.1210870313038,577.8457142857143,199.4159169550173,
20180224,231.2571297148114,779.9164086687307,525.9495238095238,199.35778546712802,
20180225,324.43284268629253,844.7211902304781,628.087619047619,224.0463667820069,
20180226,271.97240110395586,901.5447196422429,686.5904761904762,217.89896193771625,
20180227,260.6214351425943,826.4169246646027,708.62,217.52249134948096,
20180228,276.66283348666053,821.7483660130719,704.6685714285715,204.63667820069205,
20180301,237.9977000919963,790.9557963536291,675.0219047619048,204.4152249134948,
20180302,225.46504139834406,788.5579635362917,588.1352380952382,192.8560553633218,
20180303,213.93698252069916,765.3985208118335,553.1809523809524,201.8712802768166,
20180304,260.2948482060718,835.4143446852426,656.3047619047619,233.08166089965397,
20180305,256.23505059797606,866.0080839353285,703.5076190476191,262.37093425605536,
20180306,251.82704691812327,863.4597523219815,731.3085714285714,220.55847750865053,
20180307,262.6872125114995,813.4016167870657,706.56,214.90103806228373,
20180308,270.05059797608095,836.1173030615755,695.047619047619,206.59100346020762,
20180309,228.28748850045997,762.329377364981,600.8666666666667,198.19723183391002,
20180310,213.45308187672492,714.5641554867561,527.4590476190476,212.02698961937716,
20180311,266.7470101195952,831.2117303061575,639.2609523809524,246.2539792387543,
20180312,259.06623735050596,937.8491572067423,702.587619047619,226.33217993079586,
20180313,243.16191352345905,840.4626762985896,726.2438095238095,217.0484429065744,
20180314,246.9310027598896,879.6219470244238,727.4,214.48235294117646,
20180315,240.65041398344067,810.5084279325765,697.8114285714286,201.59031141868513,
20180316,215.51103955841765,724.797557619539,582.0561904761905,195.51764705882354,
20180317,209.33946642134313,700.2707258341933,497.63238095238097,225.92387543252596,
20180318,258.1931922723091,767.376160990712,602.5247619047619,248.75017301038062,
20180319,255.0271389144434,791.5070519435844,668.8171428571428,219.74048442906573,
20180320,257.7842686292548,807.9298245614035,700.0685714285714,224.4968858131488,
20180321,250.67157313707452,820.2942896456829,707.6476190476191,218.01107266435986,
20180322,239.35004599816008,782.423288613691,652.8152380952381,205.67820069204151,
20180323,217.66605335786568,719.2635018919849,537.0904761904762,202.240830449827,
20180324,198.38914443422263,704.7901616787066,479.76761904761906,199.1515570934256,
20180325,235.59153633854646,768.3517371861025,529.8533333333334,224.48304498269897,
20180326,248.98298068077276,785.4951840385277,542.4552380952381,217.07335640138407,
20180327,224.86154553817846,771.0804953560372,548.2809523809524,212.38131487889274,
20180328,236.1853725850966,832.3018575851394,529.0190476190476,208.90865051903114,
20180329,210.62879484820607,755.7719298245614,491.46190476190475,196.53148788927336,
20180330,247.94940202391905,737.2144822841417,566.2476190476191,193.49065743944638,
20180331,225.3040478380865,722.1293429652562,575.0304761904762,184.80415224913494,
20180401,251.6586936522539,736.9468524251806,581.4514285714286,206.55017301038063,
20180402,261.2608095676173,823.858789129687,645.5142857142857,237.68373702422144,
