Word,Frequency 2020-01-01,Frequency 2024-11-01,Growth Rate (%)
curtis,1.0,29.04,2804.0
bang,1.0,27.38,2638.0
teddy,3.0,73.01,2333.67
sapphire,1.0,15.76,1476.0
amy,4.0,53.1,1227.5
batman,4.0,53.1,1227.5
wing,1.0,11.61,1061.0
wednesday,1.0,10.79,979.0
disability,1.0,9.96,896.0
kim,8.0,78.82,885.25
dj,1.0,8.3,730.0
resort,1.0,7.47,647.0
garcia,2.0,14.1,605.0
elections,1.0,6.64,564.0
rna,1.0,6.64,564.0
thursday,2.0,12.44,522.0
cosmetic,1.0,5.81,481.0
ruling,1.0,5.81,481.0
boom,1.0,5.81,481.0
needle,1.0,5.81,481.0
communist,1.0,5.81,481.0
aluminum,7.0,40.65,480.71
billy,7.0,40.65,480.71
monday,2.0,11.61,480.5
compensation,2.0,11.61,480.5
norman,2.0,11.61,480.5
oxygen,4.0,21.57,439.25
duo,4.0,21.57,439.25
friday,3.0,15.76,425.33
cleaning,1.0,4.98,398.0
healing,1.0,4.98,398.0
extraordinary,1.0,4.98,398.0
infants,1.0,4.98,398.0
bo,1.0,4.98,398.0
vietnamese,1.0,4.98,398.0
seekers,1.0,4.98,398.0
sip,1.0,4.98,398.0
anne,16.0,79.65,397.81
dance,12.0,58.07,383.92
lawsuit,5.0,23.23,364.6
notebooks,2.0,9.13,356.5
cannon,2.0,9.13,356.5
equity,4.0,18.25,356.25
hang,3.0,13.27,342.33
dragon,7.0,30.7,338.57
ion,13.0,55.59,327.62
elsewhere,7.0,29.87,326.71
reform,1.0,4.15,315.0
dolls,1.0,4.15,315.0
ha,1.0,4.15,315.0
skins,1.0,4.15,315.0
transcription,2.0,8.3,315.0
aurora,1.0,4.15,315.0
mesa,1.0,4.15,315.0
accreditation,1.0,4.15,315.0
eos,1.0,4.15,315.0
rouge,2.0,8.3,315.0
contributor,1.0,4.15,315.0
huntington,1.0,4.15,315.0
db,5.0,19.91,298.2
proteins,10.0,39.82,298.2
minority,4.0,15.76,294.0
earn,2.0,7.47,273.5
exam,2.0,7.47,273.5
framed,2.0,7.47,273.5
cry,2.0,7.47,273.5
mistake,2.0,7.47,273.5
males,2.0,7.47,273.5
remedy,2.0,7.47,273.5
suit,7.0,25.72,267.43
ryan,22.0,80.48,265.82
pink,3.0,10.79,259.67
lady,3.0,10.79,259.67
amd,9.0,32.36,259.56
miller,20.0,71.35,256.75
tuesday,4.0,14.1,252.5
hip,4.0,14.1,252.5
ceramic,13.0,44.8,244.62
dressed,3.0,9.96,232.0
teen,1.0,3.32,232.0
certificate,1.0,3.32,232.0
jackson,2.0,6.64,232.0
recreation,1.0,3.32,232.0
warm,1.0,3.32,232.0
subscriptions,1.0,3.32,232.0
amended,1.0,3.32,232.0
cute,1.0,3.32,232.0
prohibited,1.0,3.32,232.0
shock,1.0,3.32,232.0
emissions,2.0,6.64,232.0
hearts,1.0,3.32,232.0
babies,1.0,3.32,232.0
warren,1.0,3.32,232.0
appeals,1.0,3.32,232.0
jam,1.0,3.32,232.0
hazardous,1.0,3.32,232.0
toner,1.0,3.32,232.0
latex,1.0,3.32,232.0
luxembourg,1.0,3.32,232.0
perry,2.0,6.64,232.0
exclude,1.0,3.32,232.0
treasury,1.0,3.32,232.0
terrible,1.0,3.32,232.0
elvis,1.0,3.32,232.0
bones,1.0,3.32,232.0
sku,1.0,3.32,232.0
rhythm,1.0,3.32,232.0
sig,1.0,3.32,232.0
shortcuts,1.0,3.32,232.0
