year,Flesch Reading Ease_mean,Flesch Reading Ease_std,Flesch-Kincaid Grade Level_mean,Flesch-Kincaid Grade Level_std,Automated Readability Index (ARI)_mean,Automated Readability Index (ARI)_std,Coleman-Liau Index_mean,Coleman-Liau Index_std,Gunning Fog Index_mean,Gunning Fog Index_std,Dale-Chall Readability Score_mean,Dale-Chall Readability Score_std,Linsear Write Formula_mean,Linsear Write Formula_std,SMOG Index_mean,SMOG Index_std,Total Words_mean,Total Words_std,Syllable Count per word_mean,Syllable Count per word_std,Polysyllable Count per word_mean,Polysyllable Count per word_std,Difficult Words per word_mean,Difficult Words per word_std,Reading Time (seconds)_mean,Reading Time (seconds)_std
2020,68.28322326,11.55332456,7.494036471,2.436986717,9.430359783,3.162641725,9.643055692,2.105323844,8.72656481,2.331656952,8.996476097,1.349544613,7.883163775,3.072471703,9.728881222,2.787798114,512.2483982,892.6477079,1.45569762,0.117232787,0.108457332,0.045802296,0.167967144,0.055956609,9148.609561,16224.92594
2021,68.13131592,11.43977754,7.52720552,2.423603754,9.474913751,3.145190837,9.678255298,2.086970524,8.754194184,2.323692227,8.994588467,1.35047095,7.913919894,3.082357732,9.763528832,2.763628694,524.5505175,901.6589275,1.456594705,0.11613082,0.108702462,0.045454395,0.167988357,0.056027317,9365.750419,16374.2288
2022,68.10237555,11.35440711,7.541695416,2.415298113,9.495120749,3.124908022,9.685248891,2.043010502,8.774859537,2.324307927,8.990300641,1.344546094,7.927447644,3.091479188,9.777920158,2.752421457,533.5510103,907.3379311,1.456528588,0.114871962,0.108795368,0.045348205,0.167862108,0.055741557,9533.392607,16497.04952
2023,68.12783144,11.32679437,7.533711188,2.414722488,9.484277969,3.111253075,9.681034993,2.017120439,8.758812223,2.319159441,8.968003943,1.338474546,7.910329535,3.104852891,9.792262198,2.735570762,549.8531296,927.6805449,1.456234421,0.114119111,0.108759447,0.044966131,0.167206533,0.055302842,9820.125776,16846.97947
2024,68.14555939,11.21594592,7.539329719,2.397646517,9.499063578,3.095408273,9.687920158,2.009002523,8.754233613,2.287220428,8.947732873,1.330715089,7.941168469,3.110076789,9.8319862,2.683473978,562.7028093,934.5154552,1.455633392,0.112630543,0.108509408,0.04448726,0.16634451,0.054695442,10046.74125,16958.8886
2025,68.04577132,11.07868886,7.563085264,2.361689326,9.530507639,3.055413727,9.713725973,2.001742243,8.767106949,2.249222188,8.940542139,1.319426876,7.938140613,3.074816015,9.867422376,2.639901735,574.0172499,947.6545812,1.456205736,0.11183324,0.108509372,0.043914893,0.166071204,0.053705293,10259.87935,17218.0089
