Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
samoa,6.57,7.62,7.42,9.7,9.54,10.59,61.18721461187213
encryption,6.57,6.35,9.89,10.91,10.74,10.59,61.18721461187213
mom,19.71,27.94,28.44,29.1,28.63,31.76,61.136478944698126
marvel,59.13,64.77,65.55,87.29,90.66,95.28,61.13647894469811
dat,31.54,29.21,50.71,44.86,48.91,50.58,60.367786937222576
anime,81.47,83.82,105.12,132.15,128.83,130.57,60.267583159445195
sip,30.22,48.26,49.47,49.71,47.71,48.23,59.596293845135676
discount,34.17,36.83,35.87,35.16,54.87,54.11,58.35528241147204
scuba,22.34,24.13,40.81,37.58,36.98,35.29,57.96777081468218
blackjack,10.51,10.16,17.31,16.97,16.7,16.47,56.70789724072311
villas,5.26,5.08,6.18,7.27,9.54,8.23,56.46387832699621
defensive,78.84,82.55,80.39,126.09,124.05,122.34,55.17503805175038
apparel,14.45,15.24,14.84,15.76,20.28,22.35,54.671280276816624
bob,156.37,167.64,196.64,184.28,240.95,241.14,54.211165824646656
tricks,23.65,24.13,28.44,33.95,34.59,36.47,54.20718816067654
reset,18.4,21.59,22.26,25.46,26.24,28.23,53.42391304347828
albuquerque,81.47,86.36,105.12,122.45,125.25,124.69,53.050202528538115
dare,22.34,25.4,29.68,27.88,29.82,34.11,52.6857654431513
admissions,13.14,15.24,14.84,16.97,19.09,20.0,52.20700152207001
alto,84.1,81.28,81.62,80.02,78.73,127.04,51.05826397146256
theft,113.01,134.62,129.86,130.94,137.18,169.39,49.88939031944074
spirituality,7.88,10.16,9.89,9.7,9.54,11.76,49.23857868020304
zoloft,3.94,5.08,4.95,4.85,4.77,5.88,49.23857868020304
gsm,3.94,5.08,4.95,4.85,5.96,5.88,49.23857868020304
coaching,3.94,8.89,6.18,6.06,5.96,5.88,49.23857868020304
navigate,7.88,8.89,9.89,12.12,11.93,11.76,49.23857868020304
gmc,3.94,3.81,3.71,4.85,5.96,5.88,49.23857868020304
wx,3.94,3.81,6.18,6.06,5.96,5.88,49.23857868020304
ericsson,3.94,3.81,3.71,6.06,5.96,5.88,49.23857868020304
rrp,7.88,7.62,11.13,10.91,10.74,11.76,49.23857868020304
finals,19.71,33.02,38.34,30.31,28.63,29.41,49.21359715880263
dpi,19.71,20.32,22.26,21.82,21.47,29.41,49.21359715880263
chevrolet,15.77,15.24,19.79,20.61,23.86,23.53,49.20735573874446
peers,38.11,48.26,49.47,50.92,56.06,56.46,48.150091839412234
myself,30.22,40.64,38.34,41.22,41.75,44.7,47.915287888815364
volvo,22.34,21.59,27.21,30.31,31.01,32.94,47.44852282900626
bmw,40.74,40.64,50.71,60.62,59.64,59.99,47.250859106529205
gotten,18.4,17.78,28.44,27.88,28.63,27.05,47.010869565217405
style,1262.79,1412.25,1406.17,1351.8,1313.31,1856.2,46.99197808028256
skip,14.45,16.51,17.31,19.4,20.28,21.17,46.5051903114187
suppose,43.36,60.96,64.31,66.68,63.22,63.52,46.49446494464946
podcast,28.91,30.48,32.16,33.95,33.4,42.35,46.48910411622276
arrives,74.9,85.09,100.18,111.54,109.74,109.4,46.061415220293725
bhutan,24.97,26.67,33.39,37.58,34.59,36.47,46.0552663195835
posing,35.48,39.37,40.81,41.22,46.52,51.76,45.88500563697859
amp,97.24,96.52,93.99,122.45,141.95,141.16,45.16659810777458
fantasy,27.59,27.94,28.44,36.37,36.98,39.99,44.94382022471911
background,724.04,762.0,758.12,750.46,744.33,1049.26,44.9174078780178
ivory,78.84,106.68,106.36,107.9,109.74,114.1,44.72349061390156
bat,57.82,80.01,77.91,84.87,84.69,83.52,44.448287789692145
vegetarian,185.28,205.74,222.61,248.54,271.97,265.84,43.48013816925732
testimonials,6.57,7.62,9.89,9.7,9.54,9.41,43.22678843226788
memorabilia,6.57,6.35,6.18,7.27,9.54,9.41,43.22678843226788
spam,6.57,7.62,8.66,8.49,9.54,9.41,43.22678843226788
socket,35.48,33.02,50.71,49.71,51.29,50.58,42.559188275084566
commons,106.44,129.54,134.8,144.27,144.33,151.74,42.559188275084566
ns,144.54,139.7,139.75,202.47,205.17,205.85,42.417323924173246
expenditures,22.34,22.86,25.97,32.73,33.4,31.76,42.166517457475386
jeff,98.55,104.14,97.7,145.49,140.75,139.98,42.03957382039573
boxed,15.77,16.51,16.08,16.97,22.66,22.35,41.72479391249209
dream,107.75,107.95,143.46,150.34,151.49,151.74,40.82598607888632
dive,36.79,38.1,40.81,42.43,51.29,51.76,40.69040500135907
lookup,9.2,8.89,8.66,13.34,13.12,12.94,40.652173913043484
disappointed,18.4,19.05,22.26,24.25,23.86,25.88,40.652173913043484
techno,9.2,10.16,12.37,14.55,14.31,12.94,40.652173913043484
nvidia,18.4,20.32,19.79,20.61,21.47,25.88,40.652173913043484
resumes,9.2,10.16,12.37,14.55,14.31,12.94,40.652173913043484
projector,9.2,8.89,11.13,12.12,13.12,12.94,40.652173913043484
wednesday,60.45,64.77,64.31,64.26,69.18,84.69,40.09925558312654
uh,21.02,19.05,22.26,21.82,25.05,29.41,39.91436726926737
