Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
hardcover,23.97,33.49,36.8,40.25,39.46,41.65,73.75886524822695
totals,22.47,26.21,28.31,38.86,39.46,38.97,73.43124165554073
ent,20.98,18.93,18.4,29.14,32.65,36.28,72.92659675881792
printable,17.98,14.56,15.57,16.65,28.57,30.9,71.85761957730811
eau,16.48,13.1,25.48,24.98,28.57,28.22,71.23786407766988
tribunal,11.99,11.65,16.98,20.82,20.41,20.16,68.14011676396997
vegetarian,41.95,42.22,48.12,55.51,72.11,69.87,66.5554231227652
shame,10.49,10.19,11.32,16.65,16.33,17.47,66.53956148713058
travis,20.98,20.38,21.23,29.14,28.57,34.94,66.53956148713058
yamaha,10.49,11.65,16.98,16.65,16.33,17.47,66.53956148713058
poison,20.98,20.38,25.48,34.7,34.02,34.94,66.53956148713058
advert,19.48,21.84,22.64,22.21,28.57,32.25,65.55441478439424
vault,115.37,113.57,176.91,205.4,210.9,190.8,65.38094825344544
freeze,26.97,30.58,35.38,34.7,40.82,44.34,64.40489432703005
commissioners,17.98,18.93,25.48,24.98,24.49,29.56,64.40489432703002
cholesterol,8.99,10.19,11.32,11.1,13.61,14.78,64.40489432703002
ala,8.99,10.19,11.32,15.27,14.97,14.78,64.40489432703002
moderators,8.99,10.19,9.91,9.71,12.25,14.78,64.40489432703002
kills,68.92,71.35,87.75,101.31,111.57,112.87,63.7695879280325
somalia,16.48,29.12,21.23,20.82,16.33,26.87,63.04611650485437
ai,1137.22,1291.5,1306.32,1485.0,1737.52,1850.24,62.69851040256063
thunder,23.97,24.75,32.55,31.92,32.65,38.97,62.57822277847309
marilyn,46.45,42.22,43.87,81.88,78.92,75.25,62.00215285252959
creek,14.98,16.02,19.81,22.21,23.13,24.19,61.48197596795728
headphones,7.49,7.28,8.49,9.71,10.88,12.09,61.41522029372496
chronicles,49.44,45.14,76.43,76.33,77.56,79.28,60.35598705501619
socket,20.98,20.38,31.14,37.47,38.1,33.59,60.10486177311727
tenant,20.98,34.94,33.97,33.31,32.65,33.59,60.10486177311727
bangkok,19.48,18.93,19.81,18.04,19.05,30.9,58.624229979466115
postcard,5.99,7.28,7.08,9.71,10.88,9.41,57.09515859766277
polyphonic,5.99,5.82,5.66,6.94,9.52,9.41,57.09515859766277
wx,5.99,7.28,7.08,9.71,9.52,9.41,57.09515859766277
bedding,5.99,7.28,5.66,5.55,5.44,9.41,57.09515859766277
reload,5.99,5.82,7.08,9.71,10.88,9.41,57.09515859766277
pvc,5.99,5.82,7.08,9.71,9.52,9.41,57.09515859766277
fundraising,17.98,18.93,19.81,20.82,27.21,28.22,56.952169076751936
seekers,17.98,26.21,25.48,27.76,28.57,28.22,56.952169076751936
debian,101.89,110.66,134.45,136.01,145.59,159.9,56.93394837569928
jamie,35.96,40.77,42.46,45.8,57.15,56.43,56.924360400444925
alerts,29.97,33.49,39.63,40.25,43.54,47.03,56.923590256923596
chassis,11.99,16.02,15.57,19.43,20.41,18.81,56.88073394495412
saints,94.39,93.19,148.61,151.28,151.03,147.8,56.5843839389766
mhz,62.93,61.15,80.67,86.05,89.8,98.09,55.871603368822505
wells,163.32,183.46,251.92,252.59,247.63,253.95,55.49228508449669
css,89.9,104.83,106.15,108.25,122.46,139.74,55.43937708565072
flavor,43.45,45.14,69.35,68.0,66.67,67.18,54.61449942462602
silence,58.43,58.24,58.03,66.62,89.8,90.03,54.08180729077529
chuck,31.46,34.94,33.97,43.02,44.9,48.37,53.75079465988556
booking,10.49,11.65,12.74,12.49,14.97,16.12,53.67016205910391
cedar,10.49,11.65,12.74,16.65,16.33,16.12,53.67016205910391
aaa,86.9,82.99,142.94,141.56,134.7,133.02,53.072497123130034
franchise,124.36,132.5,159.93,179.03,195.93,189.46,52.34802187198457
pike,23.97,36.4,35.38,34.7,34.02,36.28,51.355861493533595
lonely,23.97,24.75,31.14,38.86,36.74,36.28,51.355861493533595
mime,23.97,32.03,32.55,34.7,36.74,36.28,51.355861493533595
tractor,37.46,36.4,41.04,52.74,57.15,56.43,50.64068339562199
stake,83.91,85.91,94.82,119.35,125.18,126.31,50.53033011560005
