Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01,Growth Rate (%)
boxed,8.96,13.51,14.28,15.13,15.98,13.53,51.00446428571427
screenshot,34.55,34.39,33.32,34.91,35.38,51.88,50.1591895803184
dare,12.8,12.28,15.47,12.8,15.98,19.17,49.76562500000001
christians,55.03,66.33,71.4,81.45,79.89,82.34,49.62747592222424
fl,861.23,938.38,1052.01,1182.21,1239.41,1274.52,47.98834225468225
tommy,23.03,33.16,35.7,36.07,36.52,33.84,46.93877551020409
erotic,65.26,67.55,69.02,68.65,70.76,95.87,46.90468893656144
nc,72.94,68.78,99.96,97.74,93.58,107.15,46.901562928434345
doll,57.59,60.18,60.69,65.16,86.74,84.59,46.8831394339295
bondage,3.84,4.91,4.76,5.82,6.85,5.64,46.87499999999999
rentals,3.84,3.68,3.57,4.65,5.71,5.64,46.87499999999999
welding,7.68,8.6,9.52,10.47,11.41,11.28,46.87499999999999
tournaments,7.68,7.37,7.14,9.31,9.13,11.28,46.87499999999999
roster,15.36,17.2,17.85,18.62,22.83,22.56,46.87499999999999
promo,3.84,4.91,4.76,5.82,5.71,5.64,46.87499999999999
gotta,3.84,6.14,5.95,5.82,5.71,5.64,46.87499999999999
mailman,3.84,6.14,5.95,5.82,5.71,5.64,46.87499999999999
vibrator,3.84,3.68,3.57,3.49,3.42,5.64,46.87499999999999
formatting,3.84,4.91,4.76,5.82,5.71,5.64,46.87499999999999
urls,3.84,6.14,5.95,5.82,5.71,5.64,46.87499999999999
wv,3.84,3.68,4.76,4.65,4.57,5.64,46.87499999999999
congratulations,3.84,3.68,5.95,5.82,3.42,5.64,46.87499999999999
jpeg,3.84,3.68,3.57,4.65,5.71,5.64,46.87499999999999
remix,15.36,15.97,19.04,22.11,21.68,22.56,46.87499999999999
gays,3.84,3.68,3.57,4.65,5.71,5.64,46.87499999999999
headers,3.84,3.68,4.76,5.82,5.71,5.64,46.87499999999999
freight,7.68,11.05,11.9,11.64,11.41,11.28,46.87499999999999
baths,55.03,65.1,71.4,70.98,79.89,80.08,45.52062511357441
literacy,144.6,151.07,148.76,144.29,148.36,209.79,45.08298755186722
pmid,89.58,98.26,115.44,175.7,188.31,129.71,44.79794597008262
