Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
find,2166.36,2125.35,2108.2,2100.91,2075.77,2066.94
price,1116.38,1167.95,1203.6,1219.14,1231.14,1245.46
date,2242.07,2227.93,2210.21,2219.71,2229.24,2224.8
back,7894.09,7948.33,7883.47,7903.64,7876.22,7838.68
top,4839.72,4858.38,4880.63,4878.86,4844.41,4830.18
people,8756.66,8804.35,8751.72,8761.77,8801.0,8793.78
had,67500.97,68016.12,68361.67,68639.13,68799.98,68775.49
list,2637.98,2640.05,2610.04,2585.34,2572.55,2570.98
name,7494.45,7452.24,7415.63,7358.09,7353.87,7332.38
just,5666.3,5622.02,5573.59,5511.5,5475.33,5468.98
over,19946.53,20044.79,20075.37,20030.44,20033.58,20023.22
state,10527.73,10414.41,10480.02,10443.42,10487.42,10453.08
year,15623.12,15689.71,15744.07,15833.81,15981.5,16021.28
day,10644.4,10630.37,10562.68,10612.39,10632.93,10612.64
into,23037.52,23138.34,23245.29,23217.85,23201.23,23227.37
email,28.55,31.79,35.18,32.87,31.83,32.14
two,33650.89,33783.11,33843.15,33864.84,33910.89,33933.03
health,1878.42,1886.6,1895.39,1893.3,1898.43,1884.26
n,1466.99,1422.3,1320.85,1298.72,1313.56,1278.16
world,12833.72,12828.91,12854.38,12800.96,12752.46,12679.57
re,3535.31,3456.47,3440.19,3415.78,3452.99,3431.36
next,6121.16,6208.7,6227.28,6294.08,6295.52,6311.31
used,13837.78,13804.9,13781.85,13806.14,13758.52,13739.54
go,2624.33,2581.26,2554.34,2555.92,2535.03,2532.08
b,5295.2,5264.5,5135.07,5089.93,5013.79,5011.16
work,11520.0,11531.38,11518.29,11565.09,11611.13,11635.95
last,6770.27,6753.38,6699.8,6674.12,6649.63,6636.07
most,20184.82,20173.17,20076.54,20039.09,19959.12,19923.99
products,566.57,560.28,554.6,569.78,580.33,577.91
music,9263.66,9223.66,9224.83,9261.76,9280.15,9307.41
buy,489.0,487.1,484.25,497.69,493.93,486.57
data,1306.27,1303.53,1268.67,1264.7,1258.42,1262.38
make,5365.95,5377.87,5378.37,5406.54,5375.29,5364.67
them,14197.08,14360.39,14399.77,14524.71,14587.24,14606.68
should,3856.76,3791.2,3771.42,3784.87,3775.83,3770.21
product,623.66,621.47,620.27,624.56,622.39,627.52
system,6862.11,6852.96,6899.13,6922.68,6921.32,6929.25
post,3350.38,3373.69,3388.59,3367.34,3397.28,3373.85
her,34923.65,34955.26,34742.47,35058.03,35522.28,35746.82
city,10840.49,11056.88,11215.78,11231.76,11338.87,11299.92
t,6493.5,6422.85,6284.14,6262.36,6165.36,6156.83
add,554.78,551.28,558.12,553.63,550.2,548.03
policy,1478.78,1477.49,1489.11,1496.53,1480.1,1478.32
number,9492.64,9386.83,9318.05,9185.64,9107.93,9035.65
such,16200.85,16256.59,16264.67,16283.06,16265.13,16257.52
please,145.83,141.57,142.46,141.87,142.1,142.08
available,2608.82,2602.85,2584.24,2564.57,2539.58,2539.41
copyright,155.14,155.97,156.53,153.98,150.62,150.54
support,5649.54,5660.41,5696.71,5718.53,5735.65,5749.19
message,783.14,780.44,772.11,757.78,755.39,752.69
after,36854.2,36915.65,37214.74,37291.0,37370.13,37383.56
best,7562.09,7614.8,7677.1,7700.07,7732.99,7738.89
software,351.86,356.93,358.79,377.74,371.16,360.28
then,12484.34,12514.57,12578.25,12584.12,12567.17,12562.86
jan,285.46,277.14,281.99,273.93,265.44,268.94
good,3808.35,3782.81,3731.56,3702.4,3690.01,3676.05
video,3518.55,3539.86,3581.47,3538.62,3489.36,3446.58
well,11750.23,11782.13,11721.14,11747.91,11731.06,11687.26
d,5235.01,5225.5,5121.0,5080.71,5057.56,5023.57
where,13843.98,13821.7,13771.29,13775.58,13785.23,13798.17
info,24.2,20.4,17.59,14.99,13.64,12.4
rights,2397.21,2370.7,2358.53,2390.41,2398.62,2384.93
public,6117.44,6092.92,6125.85,6155.09,6171.04,6173.18
books,2292.33,2242.33,2189.69,2170.69,2166.15,2189.28
high,9161.89,9120.49,9128.69,9134.89,9094.29,9128.12
school,5884.73,5804.98,5801.06,5802.73,5833.42,5827.0
through,12617.76,12668.14,12679.68,12646.98,12591.04,12553.28
m,6015.05,5989.74,5726.61,5656.83,5451.46,5348.89
each,9325.09,9439.62,9550.21,9606.05,9620.62,9621.45
links,282.97,280.14,277.89,278.54,273.97,272.32
she,24310.28,24336.29,24216.14,24539.64,24837.06,24969.55
review,2368.66,2289.72,2244.21,2226.63,2220.71,2201.69
years,16911.39,16848.66,16695.57,16642.92,16638.0,16607.65
order,5071.8,5001.15,4914.05,4858.68,4796.67,4759.7
very,5820.19,5715.0,5631.63,5575.51,5537.85,5514.65
