Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
the,0.09274169,0.09292979,0.09288293,0.09283574,0.08779121,-0.05481868
of,0.04329415,0.04320864,0.04378501,0.04325139,0.03809381,-0.12998056
and,0.04011825,0.04028103,0.04040719,0.04019964,0.03668414,-0.09213831
to,0.02343187,0.02348984,0.02324676,0.02346086,0.02518666,0.08344819
a,0.02519375,0.02519868,0.02499927,0.02519622,0.02556918,0.02279707
in,0.03589124,0.0359003,0.03566613,0.03589577,0.03566443,-4.766e-05
for,0.00939711,0.00940228,0.00930773,0.00939969,0.009926,0.06642543
is,0.00882133,0.00864551,0.00902565,0.00873342,0.00740538,-0.17951837
on,0.00883891,0.00883532,0.00857072,0.00883711,0.00774121,-0.09678417
that,0.00545894,0.00538407,0.00540267,0.00542151,0.00579941,0.07343406
by,0.01021024,0.01023779,0.0100832,0.01022401,0.0096793,-0.04005673
this,0.00179202,0.00177414,0.00176789,0.00178308,0.00348569,0.97166679
with,0.00769928,0.00777828,0.00776294,0.00773878,0.00848504,0.09301888
i,0.00090543,0.00090324,0.00085856,0.00090434,0.00090246,0.05113213
you,0.00012495,0.00013488,0.00013489,0.00012992,0.00013158,-0.02453851
it,0.00706196,0.00703981,0.00680693,0.00705088,0.00599677,-0.11901988
not,0.00163567,0.00160082,0.00160377,0.00161824,0.00130302,-0.18752689
or,0.00249903,0.00249308,0.00272134,0.00249606,0.00227074,-0.16558019
be,0.00216311,0.00211896,0.00216999,0.00214104,0.00149986,-0.30881709
are,0.00280231,0.00276527,0.00302035,0.00278379,0.00229462,-0.2402801
from,0.00654018,0.00652167,0.00643407,0.00653092,0.00752793,0.17001058
at,0.0051902,0.00523149,0.00505648,0.00521085,0.00483116,-0.04456064
as,0.01142271,0.01139247,0.0115485,0.01140759,0.01426429,0.23516387
your,2.009e-05,1.892e-05,2.359e-05,1.95e-05,2.653e-05,0.12462908
all,0.00130665,0.00131215,0.00135349,0.0013094,0.00118418,-0.12509143
have,0.00245319,0.00243937,0.00248798,0.00244628,0.00197098,-0.2077991
new,0.00196218,0.00197371,0.0019674,0.00196795,0.00183941,-0.0650554
more,0.00140335,0.00140064,0.00144016,0.001402,0.00107436,-0.25399956
an,0.00498174,0.00499592,0.00496005,0.00498883,0.00451336,-0.09005756
was,0.01757422,0.01754186,0.01644906,0.01755804,0.01237554,-0.24764455
we,5.023e-05,4.577e-05,5.283e-05,4.8e-05,5.624e-05,0.06454666
will,0.00018523,0.00018187,0.00020618,0.00018355,0.00012786,-0.37986226
home,0.00045209,0.00044796,0.00045287,0.00045003,0.0004637,0.02391415
can,0.00054878,0.00054805,0.00062982,0.00054842,0.00091891,0.45900416
us,0.00050797,0.00051631,0.00050313,0.00051214,0.00032204,-0.35992686
about,0.00104608,0.00102775,0.00100576,0.00103692,0.00059474,-0.40866608
if,0.00019088,0.0001953,0.00021233,0.00019309,0.00015386,-0.27537324
page,6.656e-05,5.554e-05,5.949e-05,6.105e-05,3.926e-05,-0.34005715
my,6.405e-05,6.53e-05,6.514e-05,6.467e-05,6.314e-05,-0.0307031
has,0.00256622,0.00256387,0.0026921,0.00256505,0.00228666,-0.15060362
search,7.66e-05,7.446e-05,7.796e-05,7.553e-05,7.428e-05,-0.04720369
free,0.00015258,0.00015135,0.00017284,0.00015196,0.00016606,-0.03922703
but,0.00262775,0.00265542,0.00254747,0.00264159,0.00144309,-0.43352032
our,3.893e-05,3.784e-05,4.411e-05,3.838e-05,6.26e-05,0.41917932
one,0.00275082,0.00272926,0.00278391,0.00274004,0.00251373,-0.09705055
other,0.00184288,0.00184677,0.00192689,0.00184483,0.00148447,-0.22960314
do,0.00015195,0.00015196,0.0001631,0.00015196,0.00011035,-0.32342121
no,0.00086964,0.00086663,0.00084369,0.00086813,0.00067539,-0.19948085
information,8.979e-05,8.91e-05,0.00010976,8.945e-05,0.00011248,0.02478134
time,0.00155907,0.00158312,0.00156223,0.0015711,0.0014277,-0.08611408
they,0.00170097,0.00171799,0.00172635,0.00170948,0.00169616,-0.01748776
site,0.00026623,0.00027952,0.00027952,0.00027288,0.00028225,0.00976674
he,0.00721328,0.00714234,0.00675564,0.00717781,0.00677509,0.00287908
up,0.00088785,0.0008886,0.00086471,0.00088823,0.00053797,-0.37786079
may,0.00117354,0.00117178,0.00119603,0.00117266,0.00118365,-0.01035091
what,0.00031395,0.00030759,0.00030362,0.00031077,0.00022867,-0.24685462
which,0.0037768,0.00380461,0.003843,0.00379071,0.00382524,-0.00462139
their,0.00224285,0.00230388,0.00235514,0.00227336,0.00312651,0.32752618
news,9.23e-05,9.155e-05,0.00010155,9.192e-05,7.534e-05,-0.25809946
out,0.00062162,0.00062373,0.00062469,0.00062268,0.00039579,-0.36642175
use,0.00056888,0.00056392,0.00060981,0.0005664,0.00035228,-0.42231187
any,0.00039558,0.00038937,0.00040979,0.00039247,0.00034804,-0.15068694
there,0.00072711,0.00072565,0.00076009,0.00072638,0.00050508,-0.33549974
see,0.00018523,0.0001776,0.00018002,0.00018141,8.754e-05,-0.5137207
only,0.0012671,0.00124989,0.00122014,0.0012585,0.00109027,-0.10643861
so,0.00033844,0.00033444,0.00034312,0.00033644,9.868e-05,-0.71240382
his,0.00769739,0.00768002,0.0072916,0.00768871,0.00823674,0.12962039
when,0.00164258,0.00162828,0.00157197,0.00163543,0.00119585,-0.23926665
contact,4.772e-05,4.882e-05,5.847e-05,4.827e-05,3.767e-05,-0.35573799
here,3.83e-05,3.723e-05,3.847e-05,3.777e-05,6.897e-05,0.79282558
business,0.00015321,0.00014769,0.00015181,0.00015045,0.00013105,-0.13674988
who,0.00198667,0.001967,0.00191971,0.00197683,0.00185214,-0.03519802
web,1.256e-05,1.221e-05,4.154e-05,1.239e-05,3.342e-05,-0.19547424
also,0.00225352,0.00224835,0.00233155,0.00225093,0.00230045,-0.01333877
now,0.00045523,0.00045284,0.00044774,0.00045403,0.00045415,0.01431634
help,0.00012872,0.00013121,0.00012822,0.00012997,7.587e-05,-0.40828264
get,4.458e-05,4.028e-05,4.052e-05,4.243e-05,1.857e-05,-0.5417078
pm,5.65e-06,5.49e-06,7.18e-06,5.57e-06,1.061e-05,0.47771588
view,0.00010549,0.00010375,0.0001077,0.00010462,7.322e-05,-0.32014856
online,5.651e-05,5.859e-05,5.898e-05,5.755e-05,5.412e-05,-0.08240081
c,0.0003422,0.00033567,0.00032465,0.00033894,0.00029127,-0.10281842
e,0.00018649,0.00018492,0.00021028,0.00018571,0.00017402,-0.17243675
first,0.00369894,0.00368987,0.00354912,0.0036944,0.00307558,-0.13342462
am,1.695e-05,1.831e-05,2.821e-05,1.763e-05,2.812e-05,-0.00319036
been,0.00243813,0.00244425,0.00245054,0.00244119,0.00171208,-0.30134583
would,0.00067248,0.00067072,0.00065392,0.0006716,0.00047908,-0.26737216
how,0.00011553,0.00011352,0.00012771,0.00011453,7.534e-05,-0.41006969
were,0.00430738,0.0043789,0.00421792,0.00434314,0.00311962,-0.26038901
me,6.153e-05,6.042e-05,6.155e-05,6.098e-05,5.942e-05,-0.03460601
s,0.00985045,0.00990151,0.00973906,0.00987598,0.0102942,0.05700139
services,0.00011051,0.00010741,0.0001236,0.00010896,0.00012043,-0.02564725
some,0.00110761,0.00111563,0.00116885,0.00111162,0.00102343,-0.12441288
these,0.00079303,0.00080132,0.00082061,0.00079718,0.00129347,0.57622988
click,5.65e-06,5.49e-06,5.64e-06,5.57e-06,5.31e-06,-0.05851064
its,0.00426405,0.00429651,0.00420048,0.00428028,0.00518663,0.23477079
like,0.0004232,0.00042355,0.00041287,0.00042338,0.00066584,0.61271102
service,0.00062664,0.00062739,0.00058109,0.00062702,0.00052524,-0.09611248
x,0.000162,0.00016112,0.00015181,0.00016156,0.00016076,0.05895527
than,0.00123445,0.00121023,0.00121963,0.00122234,0.00084357,-0.30833941
find,8.1e-05,7.873e-05,8.001e-05,7.987e-05,5.571e-05,-0.30371204
price,5.902e-05,6.713e-05,7.539e-05,6.308e-05,6.42e-05,-0.14842817
date,0.00015132,0.00014586,0.00013694,0.00014859,0.00015757,0.15064992
back,0.00036732,0.00038388,0.00037543,0.0003756,0.00038889,0.03585222
top,0.00033153,0.00034116,0.00034414,0.00033635,0.00033584,-0.02411809
people,0.00060027,0.00059382,0.00065751,0.00059705,0.00031302,-0.52393119
had,0.00263842,0.00265786,0.00257465,0.00264814,0.00166008,-0.3552211
list,0.00016388,0.00016234,0.00016669,0.00016311,0.00015227,-0.08650789
name,0.0006618,0.00064082,0.00063546,0.00065131,0.00057458,-0.09580461
just,0.00022228,0.00021299,0.00021028,0.00021763,0.0004568,1.17234164
over,0.00155028,0.00155321,0.00154838,0.00155174,0.00175027,0.13038789
state,0.00101154,0.00100577,0.00110166,0.00100866,0.0009396,-0.14710528
year,0.0011817,0.00119497,0.00115757,0.00118833,0.00120169,0.03811433
day,0.00058646,0.00058955,0.0005775,0.000588,0.00051675,-0.10519481
into,0.00168088,0.00171189,0.00172584,0.00169638,0.00195825,0.13466486
email,6.3e-07,6.1e-07,1.54e-06,6.2e-07,2.12e-06,0.37662338
two,0.00226922,0.00228069,0.00222846,0.00227496,0.00215986,-0.03078359
health,0.00015321,0.00015685,0.00016412,0.00015503,0.00017932,0.09261516
n,6.091e-05,6.347e-05,6.975e-05,6.219e-05,6.526e-05,-0.06437276
world,0.00192325,0.00190047,0.00199151,0.00191186,0.00178423,-0.10408183
re,0.00025493,0.000249,0.0002508,0.00025196,0.00020373,-0.18767943
next,0.00028004,0.00028684,0.00027593,0.00028344,0.00018569,-0.32703947
used,0.00091171,0.00089897,0.0009596,0.00090534,0.00034804,-0.63730721
go,6.907e-05,6.53e-05,6.565e-05,6.719e-05,4.457e-05,-0.32109673
b,0.00026058,0.0002667,0.00026413,0.00026364,0.00025254,-0.04387991
work,0.0008395,0.00083306,0.00080419,0.00083628,0.00059421,-0.26110745
last,0.00054439,0.00055415,0.00052929,0.00054927,0.0003873,-0.26826503
most,0.00206139,0.00205183,0.00211922,0.00205661,0.00183622,-0.1335397
products,4.395e-05,4.333e-05,5.078e-05,4.364e-05,4.616e-05,-0.0909807
music,0.00084201,0.00085076,0.00085548,0.00084639,0.00080219,-0.06229251
buy,1.507e-05,1.587e-05,1.436e-05,1.547e-05,3.71e-06,-0.74164345
data,5.463e-05,5.31e-05,7.385e-05,5.387e-05,7.109e-05,-0.03737305
make,0.00023358,0.00023863,0.00023644,0.00023611,8.807e-05,-0.62751649
them,0.00060153,0.00061091,0.00061238,0.00060622,0.0005401,-0.11803129
should,9.23e-05,8.91e-05,9.078e-05,9.07e-05,6.579e-05,-0.2752809
product,3.516e-05,3.784e-05,5.231e-05,3.65e-05,4.085e-05,-0.21907857
system,0.00064925,0.00063288,0.00068623,0.00064107,0.00065894,-0.03976801
post,0.00020532,0.00020567,0.00021131,0.00020549,0.0001772,-0.16142161
her,0.00262963,0.00259866,0.00236181,0.00261415,0.00277264,0.1739471
city,0.0009274,0.00096855,0.00107807,0.00094797,0.00099318,-0.07874257
t,0.00018272,0.00017577,0.00016822,0.00017925,0.00018834,0.11960528
add,2.072e-05,1.465e-05,1.539e-05,1.769e-05,1.008e-05,-0.34502924
policy,8.791e-05,8.605e-05,0.0001077,8.698e-05,8.754e-05,-0.18718663
number,0.00071706,0.00069269,0.00072213,0.00070487,0.00047802,-0.33804163
such,0.00101343,0.00101859,0.00115757,0.00101601,0.00108815,-0.05997046
please,3.77e-06,4.27e-06,3.08e-06,4.02e-06,4.24e-06,0.37662338
available,0.00012746,0.0001245,0.00012771,0.00012598,0.00016978,0.32941821
copyright,1.507e-05,1.404e-05,1.693e-05,1.455e-05,1.645e-05,-0.02835204
support,0.00035351,0.00035947,0.00036004,0.00035649,0.00045627,0.26727586
message,3.265e-05,3.296e-05,3.898e-05,3.281e-05,3.608e-05,-0.07439713
after,0.00345344,0.00347139,0.00337936,0.00346241,0.00284798,-0.15724279
best,0.00082192,0.00079461,0.00075855,0.00080826,0.0005974,-0.2124448
software,3.202e-05,3.113e-05,4.975e-05,3.158e-05,5.146e-05,0.03437186
then,0.00073024,0.00073663,0.00074829,0.00073343,0.00039738,-0.4689492
jan,1.884e-05,1.77e-05,1.641e-05,1.827e-05,1.486e-05,-0.0944546
good,0.00014567,0.00014281,0.00013335,0.00014424,7.746e-05,-0.41912261
video,0.0004772,0.00047298,0.00043287,0.00047509,0.00038836,-0.10282533
well,0.0009048,0.00090813,0.0009278,0.00090646,0.00095976,0.03444708
d,0.00030076,0.00030515,0.00028978,0.00030296,0.00027164,-0.06259921
where,0.00087654,0.00089287,0.00087343,0.0008847,0.00126482,0.44810689
info,0.0,1.22e-06,5.1e-07,6.1e-07,5.3e-07,0.03921569
rights,0.00020721,0.00020079,0.00021849,0.000204,0.00023662,0.08297863
public,0.00050922,0.00050472,0.00053237,0.00050697,0.00054912,0.03146308
books,0.0002116,0.00021177,0.00020361,0.00021168,0.00014484,-0.28864005
high,0.0006348,0.00064631,0.00064212,0.00064056,0.00056928,-0.11343674
school,0.00035979,0.00035825,0.00037491,0.00035902,0.0003422,-0.08724761
through,0.00096508,0.00096549,0.00097396,0.00096528,0.0010977,0.12704834
m,0.00032274,0.00032102,0.00029491,0.00032188,0.0002727,-0.07531111
each,0.00044455,0.0004565,0.00048365,0.00045053,0.00044195,-0.08621937
links,2.198e-05,2.258e-05,2.513e-05,2.228e-05,1.804e-05,-0.28213291
she,0.00209215,0.0020677,0.00185714,0.00207992,0.0017768,-0.04326007
review,6.53e-05,6.347e-05,6.873e-05,6.439e-05,5.836e-05,-0.15088026
years,0.00168339,0.00168443,0.00167096,0.00168391,0.00164947,-0.01286087
order,0.00030453,0.00029844,0.00028926,0.00030148,0.00025732,-0.11041969
very,0.00026121,0.00025205,0.00024259,0.00025663,7.003e-05,-0.71132363
privacy,2.51e-06,1.83e-06,4.1e-06,2.17e-06,4.77e-06,0.16341463
book,0.00040185,0.0003912,0.00038158,0.00039653,0.00031249,-0.18106295
items,3.516e-05,3.601e-05,3.334e-05,3.559e-05,3.82e-05,0.14577085
company,0.00040374,0.00040341,0.00045082,0.00040357,0.0004255,-0.05616432
r,0.00016576,0.00016539,0.00016361,0.00016557,0.00015227,-0.06931117
read,4.772e-05,4.455e-05,4.513e-05,4.613e-05,2.6e-05,-0.42388655
group,0.00055506,0.00054195,0.00055083,0.00054851,0.00051675,-0.06187027
sex,6.279e-05,6.53e-05,7.898e-05,6.405e-05,6.473e-05,-0.18042542
need,4.898e-05,4.882e-05,5.283e-05,4.89e-05,4.669e-05,-0.11622184
many,0.00124952,0.00122975,0.00129605,0.00123963,0.00101812,-0.21444389
user,1.88e-06,2.44e-06,1.333e-05,2.16e-06,1.22e-05,-0.08477119
said,0.0001306,0.00012694,0.00012514,0.00012877,1.963e-05,-0.84313569
de,0.00038553,0.00037717,0.00038209,0.00038135,0.00036342,-0.04886283
does,8.602e-05,8.483e-05,9.95e-05,8.543e-05,8.277e-05,-0.1681407
set,0.00041064,0.00041378,0.00040928,0.00041221,0.00039526,-0.03425528
under,0.00093368,0.00092522,0.00093908,0.00092945,0.00093058,-0.00905141
general,0.00054878,0.00056392,0.0005693,0.00055635,0.00053161,-0.06620411
research,0.00019276,0.00019713,0.00020772,0.00019494,0.00026527,0.27705565
university,0.00041441,0.00041317,0.00044261,0.00041379,0.0004117,-0.06983575
january,0.00051111,0.00050289,0.00049083,0.000507,0.00048227,-0.01743985
mail,2.574e-05,2.685e-05,2.616e-05,2.629e-05,2.706e-05,0.03440367
full,0.00019842,0.00019835,0.00018823,0.00019838,0.00016712,-0.11215003
map,2.323e-05,2.197e-05,2.359e-05,2.26e-05,2.016e-05,-0.14540059
reviews,0.00023797,0.00024046,0.00021644,0.00023922,0.00024458,0.13001294
program,0.00018272,0.0001898,0.00018669,0.00018626,0.00020904,0.11971718
life,0.00069822,0.00070062,0.00069598,0.00069942,0.00067273,-0.03340613
know,2.826e-05,2.807e-05,2.923e-05,2.816e-05,2.228e-05,-0.23776941
games,0.00056385,0.00056209,0.00053134,0.00056297,0.00044142,-0.16923251
way,0.00024048,0.0002368,0.000239,0.00023864,0.00017879,-0.25192469
days,0.00036606,0.00037106,0.00034824,0.00036856,0.00033106,-0.04933379
management,7.535e-05,7.69e-05,9.386e-05,7.612e-05,0.00010187,0.08533987
p,0.00052869,0.0005212,0.00053545,0.00052494,0.00028225,-0.47287328
part,0.0011208,0.00112967,0.00111243,0.00112524,0.00092421,-0.16919716
could,0.00036983,0.00036374,0.00035902,0.00036679,0.00032363,-0.0985739
great,0.00048662,0.00047359,0.00048005,0.0004801,0.00037934,-0.20979065
united,0.00175121,0.00172654,0.00180277,0.00173887,0.00160066,-0.11211081
hotel,4.584e-05,5.065e-05,4.821e-05,4.824e-05,4.563e-05,-0.05351587
real,0.00010988,0.00010863,0.00010822,0.00010925,9.55e-05,-0.11753835
f,0.00015823,0.00015502,0.00015592,0.00015662,0.00015121,-0.0302078
item,9.42e-06,9.76e-06,8.72e-06,9.59e-06,6.37e-06,-0.26949541
international,0.00046653,0.00047542,0.00052211,0.00047097,0.00054859,0.05071728
center,0.00018837,0.00018675,0.00020977,0.00018756,0.00025997,0.23930972
ebay,1.88e-06,1.83e-06,2.05e-06,1.86e-06,2.12e-06,0.03414634
must,0.00010046,9.765e-05,0.00010001,9.905e-05,8.754e-05,-0.12468753
store,3.139e-05,3.052e-05,3.129e-05,3.096e-05,2.971e-05,-0.05049537
travel,8.414e-05,8.178e-05,8.257e-05,8.296e-05,8.223e-05,-0.00411772
comments,1.319e-05,1.343e-05,1.282e-05,1.331e-05,5.31e-06,-0.58580343
made,0.00100778,0.00101005,0.00097601,0.00100891,0.00076134,-0.21994652
development,0.00037109,0.00037778,0.00040517,0.00037444,0.00043346,0.06982254
report,7.66e-05,7.263e-05,7.539e-05,7.462e-05,5.783e-05,-0.23292214
off,0.00037988,0.00039425,0.00036876,0.00038707,0.00030347,-0.17705283
member,0.00044769,0.0004504,0.00044928,0.00044905,0.00039207,-0.12733707
details,5.212e-05,5.004e-05,5.129e-05,5.108e-05,5.093e-05,-0.00701891
line,0.00043011,0.00043636,0.00041595,0.00043324,0.00036555,-0.12116841
terms,0.00013186,0.0001306,0.00014976,0.00013123,0.00014431,-0.03639156
before,0.00124575,0.00125722,0.00120988,0.00125149,0.00113537,-0.06158462
hotels,4.4e-06,4.88e-06,4.62e-06,4.64e-06,3.71e-06,-0.1969697
did,0.00045209,0.00044613,0.00043338,0.00044911,0.00036979,-0.14673035
send,1.695e-05,1.709e-05,1.898e-05,1.702e-05,1.698e-05,-0.10537408
right,0.00017832,0.00017333,0.00019336,0.00017583,0.00017084,-0.11646669
type,0.00019339,0.00019041,0.00020259,0.0001919,0.00016712,-0.17508268
because,0.00047092,0.00046749,0.00045749,0.0004692,6.101e-05,-0.86664189
local,0.00032086,0.00032224,0.00033337,0.00032155,0.00037987,0.13948466
those,0.00035476,0.00036252,0.00037645,0.00035864,0.00038146,0.01330854
using,0.00024425,0.00024717,0.00025747,0.00024571,0.00023026,-0.10568222
results,5.149e-05,5.249e-05,6.565e-05,5.199e-05,5.624e-05,-0.14333587
office,0.00026497,0.0002606,0.00027747,0.00026278,0.00023609,-0.14913324
education,0.00014756,0.0001483,0.00015899,0.00014793,0.00020002,0.25806655
national,0.00096382,0.00095268,0.00098011,0.00095825,0.00098098,0.00088766
car,7.032e-05,6.957e-05,8.411e-05,6.994e-05,7.322e-05,-0.12947331
design,0.00039871,0.00039608,0.00038312,0.00039739,0.0004308,0.12445187
take,0.00020093,0.00020323,0.00019746,0.00020208,0.00015227,-0.22885648
posted,7.158e-05,6.835e-05,6.103e-05,6.996e-05,1.539e-05,-0.74782894
internet,1.821e-05,1.465e-05,3.282e-05,1.643e-05,2.759e-05,-0.15935405
address,3.391e-05,3.479e-05,3.539e-05,3.435e-05,8.33e-05,1.35377225
community,0.00014379,0.00013915,0.00016258,0.00014147,0.00019736,0.21392545
within,0.00052555,0.00052181,0.00052827,0.00052368,0.00098947,0.87303841
states,0.00149314,0.00147143,0.00158839,0.00148228,0.00139322,-0.12287285
area,0.00058269,0.00057856,0.00063135,0.00058062,0.00061437,-0.02689475
want,1.633e-05,1.648e-05,1.693e-05,1.641e-05,1.114e-05,-0.34199646
phone,1.067e-05,1.099e-05,1.333e-05,1.083e-05,1.379e-05,0.03450863
dvd,4.584e-05,4.089e-05,3.693e-05,4.337e-05,3.183e-05,-0.13809911
shipping,5.212e-05,5.31e-05,4.975e-05,5.261e-05,4.987e-05,0.00241206
reserved,1.319e-05,1.16e-05,1.077e-05,1.24e-05,1.379e-05,0.28040854
subject,0.00015949,0.00015868,0.0001713,0.00015908,8.011e-05,-0.53234092
between,0.00147556,0.00150439,0.00148581,0.00148997,0.001346,-0.09409682
forum,8.79e-06,9.15e-06,1.128e-05,8.97e-06,1.061e-05,-0.05939716
family,0.0007541,0.00075189,0.00070264,0.000753,0.00072844,0.03671866
l,0.00013939,0.00014159,0.00013745,0.00014049,0.00012733,-0.07362677
long,0.00071831,0.00072931,0.00069341,0.00072381,0.00049871,-0.28078626
based,0.00055632,0.00055659,0.00057699,0.00055645,0.0004308,-0.25336661
w,7.66e-05,7.812e-05,8.616e-05,7.736e-05,7.799e-05,-0.09482358
code,3.202e-05,3.296e-05,4.924e-05,3.249e-05,4.244e-05,-0.13809911
show,0.00035476,0.00035519,0.0003385,0.00035497,0.00027164,-0.19751846
o,0.00014881,0.00015074,0.00014002,0.00014977,0.00013847,-0.01106985
even,0.00025367,0.00024107,0.00023798,0.00024737,0.00025838,0.08572149
black,0.00046716,0.00046871,0.00047544,0.00046793,0.00048863,0.02774272
check,5.02e-06,3.05e-06,5.64e-06,4.04e-06,1.59e-06,-0.71808511
special,0.00019967,0.00019713,0.0001913,0.0001984,0.00017826,-0.06816519
prices,2.386e-05,2.441e-05,2.616e-05,2.413e-05,3.289e-05,0.257263
website,2.826e-05,2.441e-05,3.231e-05,2.633e-05,2.494e-05,-0.22810275
index,1.507e-05,1.526e-05,2.359e-05,1.516e-05,2.122e-05,-0.1004663
being,0.00080434,0.00079095,0.00080984,0.00079765,0.00084092,0.03837795
women,0.00030516,0.00031675,0.00031029,0.00031096,0.00030666,-0.01169873
much,0.00052053,0.00052242,0.00050775,0.00052147,0.00035175,-0.30723781
sign,3.453e-05,3.479e-05,3.539e-05,3.466e-05,2.971e-05,-0.16049732
file,6.91e-06,6.71e-06,8.21e-06,6.81e-06,7.43e-06,-0.09500609
link,4.898e-05,4.821e-05,4.513e-05,4.86e-05,4.138e-05,-0.08309329
open,0.00023421,0.00023802,0.00022464,0.00023612,0.00019789,-0.11907942
today,0.00022039,0.00021483,0.00022772,0.00021761,0.00029233,0.28372563
technology,7.723e-05,7.69e-05,9.642e-05,7.706e-05,0.00010452,0.08400747
south,0.00108061,0.00106803,0.00106833,0.00107432,0.00096294,-0.09864929
case,0.0001507,0.00015196,0.00015181,0.00015133,0.00012309,-0.18918385
project,0.00027753,0.0002783,0.00026003,0.00027791,0.00029286,0.12625466
same,0.00041253,0.00041012,0.000418,0.00041132,0.00037775,-0.09629187
pages,1.884e-05,1.831e-05,2.205e-05,1.857e-05,2.281e-05,0.03446712
uk,0.00018083,0.00018614,0.0002072,0.00018348,0.0002292,0.10617761
version,0.00025493,0.00025572,0.00025388,0.00025533,0.00026209,0.03233811
section,0.00014128,0.00014098,0.00015335,0.00014113,0.00014855,-0.03130095
own,0.00038051,0.00037839,0.00037338,0.00037945,0.00032151,-0.13892013
found,0.00068127,0.00068293,0.00064674,0.0006821,0.00061278,-0.05250951
sports,8.979e-05,9.765e-05,0.00010155,9.372e-05,0.00010346,0.01880847
house,0.00053497,0.00053401,0.00054929,0.00053449,0.00048598,-0.11525788
related,0.0002656,0.00025877,0.00025029,0.00026219,0.00027695,0.10651644
security,6.028e-05,5.92e-05,7.796e-05,5.974e-05,7.64e-05,-0.02001026
both,0.00101908,0.00105033,0.00104166,0.0010347,0.00151949,0.45871974
g,0.00011051,0.0001123,0.00010617,0.0001114,8.701e-05,-0.18046529
county,0.00035916,0.0003497,0.00035645,0.00035443,0.00033902,-0.04889886
american,0.00155656,0.00152636,0.00150274,0.00154146,0.00148659,-0.01074704
photo,6.91e-06,5.49e-06,5.64e-06,6.2e-06,3.71e-06,-0.34219858
game,0.00153521,0.00153185,0.00139349,0.00153353,0.00115447,-0.17152617
members,0.0003962,0.00039731,0.00041338,0.00039675,0.00042338,0.02419082
power,0.00039871,0.00039975,0.00043851,0.00039923,0.00040162,-0.08412579
while,0.00118107,0.001209,0.0012068,0.00119504,0.00247872,1.05396089
care,5.212e-05,5.188e-05,5.693e-05,5.2e-05,6.207e-05,0.09028632
network,0.00016011,0.00016234,0.00017028,0.00016123,0.00017986,0.05626028
down,0.00031081,0.0003143,0.00029439,0.00031256,0.00022442,-0.23767791
computer,9.105e-05,8.849e-05,0.00011694,8.977e-05,0.00010823,-0.07448264
systems,0.00010674,0.00010497,0.00014668,0.00010585,0.00016712,0.13935097
three,0.00137635,0.00137379,0.00133297,0.00137507,0.0013391,0.00459875
total,0.00021035,0.00020628,0.0002231,0.00020831,0.00030135,0.35073958
place,0.00047218,0.00048885,0.00049134,0.00048051,0.00046476,-0.05409696
end,0.00064611,0.00065485,0.00063751,0.00065048,0.00046476,-0.27097614
following,0.0009588,0.00097587,0.00095806,0.00096733,0.00175558,0.83243221
download,1.444e-05,1.648e-05,1.487e-05,1.546e-05,1.326e-05,-0.10827169
h,0.0001846,0.00018431,0.0001754,0.00018445,0.00017243,-0.01693273
him,0.00100338,0.00099662,0.00094011,0.001,0.00105632,0.12361319
without,0.0002499,0.00025999,0.00026618,0.00025495,0.00027695,0.04046134
per,0.00012118,0.00011474,0.00014207,0.00011796,0.0001146,-0.19335539
access,6.907e-05,6.713e-05,6.821e-05,6.81e-05,9.868e-05,0.44670869
think,1.319e-05,1.282e-05,1.436e-05,1.3e-05,7.43e-06,-0.48259053
north,0.00101468,0.00101615,0.00097755,0.00101541,0.0009136,-0.06541865
resources,5.525e-05,5.615e-05,5.847e-05,5.57e-05,7.428e-05,0.27039507
current,0.00012746,0.0001245,0.00014771,0.00012598,0.00015651,0.0595762
posts,3.265e-05,3.235e-05,3.18e-05,3.25e-05,1.379e-05,-0.5663522
big,0.00011302,0.0001184,0.00011642,0.00011571,0.00010558,-0.09311115
media,0.00020658,0.00021177,0.00022721,0.00020917,0.00023503,0.0344175
law,0.00028695,0.00028318,0.00032209,0.00028507,0.00030666,-0.04790586
control,0.00032588,0.00033383,0.00034209,0.00032985,0.00038146,0.11508667
water,0.00032839,0.00032407,0.00032414,0.00032623,0.00028809,-0.11121738
history,0.00061471,0.00059931,0.0006452,0.00060701,0.0006982,0.08214507
pictures,5.902e-05,5.798e-05,6.411e-05,5.85e-05,5.252e-05,-0.18078303
size,0.00020469,0.00019957,0.00019797,0.00020213,0.00020267,0.02374097
art,0.00031583,0.00031553,0.00033491,0.00031568,0.00033318,-0.00516557
personal,0.00014504,0.00014952,0.00015745,0.00014728,0.0001772,0.12543665
since,0.00085771,0.00084588,0.00091087,0.0008518,0.00090564,-0.00574176
including,0.00127777,0.00128956,0.0013222,0.00128366,0.00173913,0.31533051
guide,4.081e-05,3.723e-05,4.821e-05,3.902e-05,4.987e-05,0.03443269
shop,1.758e-05,1.953e-05,1.846e-05,1.856e-05,1.804e-05,-0.0227519
directory,3.77e-06,3.05e-06,2.56e-06,3.41e-06,3.18e-06,0.2421875
board,0.00013374,0.00013549,0.00012976,0.00013461,0.00012043,-0.07190197
location,0.00012118,0.00011901,0.00012053,0.00012009,0.00011195,-0.0711856
change,0.00012935,0.00012572,0.00014155,0.00012754,9.285e-05,-0.34404804
