Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
fires,1.381e-05,1.526e-05,2.513e-05,1.453e-05,2.441e-05,-0.02865101
algeria,7.53e-06,6.71e-06,9.74e-06,7.12e-06,9.55e-06,-0.01950719
blessed,3.77e-06,4.27e-06,5.13e-06,4.02e-06,2.65e-06,-0.4834308
luis,1.067e-05,1.343e-05,1.333e-05,1.205e-05,1.326e-05,-0.00525131
reviewing,1.88e-06,1.83e-06,2.56e-06,1.86e-06,2.12e-06,-0.171875
cardiff,4.709e-05,5.371e-05,4.462e-05,5.04e-05,4.722e-05,0.05826983
cornwall,6.91e-06,7.32e-06,6.67e-06,7.12e-06,6.9e-06,0.03448276
favors,2.51e-06,2.44e-06,2.05e-06,2.48e-06,3.71e-06,0.8097561
potato,1.26e-06,1.22e-06,1.54e-06,1.24e-06,1.59e-06,0.03246753
panic,1.319e-05,1.587e-05,1.795e-05,1.453e-05,1.751e-05,-0.02451253
explicitly,1.381e-05,1.221e-05,1.385e-05,1.301e-05,1.698e-05,0.22599278
sticks,1.005e-05,9.15e-06,8.21e-06,9.6e-06,1.008e-05,0.22777101
leone,1.444e-05,1.343e-05,1.18e-05,1.394e-05,1.114e-05,-0.0559322
transsexual,0.0,0.0,0.0,0.0,0.0,
ez,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.06e-06,0.02912621
citizenship,3.579e-05,3.357e-05,3.334e-05,3.468e-05,3.449e-05,0.0344931
excuse,1.88e-06,1.83e-06,1.54e-06,1.86e-06,0.0,-1.0
reforms,4.772e-05,4.76e-05,5.334e-05,4.766e-05,7.215e-05,0.35264342
basement,8.79e-06,9.76e-06,9.74e-06,9.28e-06,9.55e-06,-0.01950719
onion,1.26e-06,1.22e-06,1.03e-06,1.24e-06,1.06e-06,0.02912621
strand,1.319e-05,1.282e-05,1.18e-05,1.3e-05,1.008e-05,-0.14576271
pf,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.06e-06,0.02912621
sandwich,6.91e-06,6.71e-06,5.13e-06,6.81e-06,4.24e-06,-0.17348928
uw,1.26e-06,1.22e-06,1.03e-06,1.24e-06,1.06e-06,0.02912621
lawsuit,1.193e-05,1.16e-05,1.077e-05,1.177e-05,1.486e-05,0.37975859
alto,3.14e-06,3.05e-06,2.56e-06,3.1e-06,2.65e-06,0.03515625
informative,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.59e-06,0.54368932
girlfriend,8.79e-06,1.038e-05,8.72e-06,9.59e-06,9.02e-06,0.03440367
bloomberg,6.3e-07,6.1e-07,5.1e-07,6.2e-07,0.0,-1.0
cheque,0.0,0.0,0.0,0.0,0.0,
hierarchy,9.42e-06,9.15e-06,1.18e-05,9.29e-06,1.008e-05,-0.14576271
influenced,0.0001507,0.00015807,0.00016361,0.00015438,0.00024883,0.52087281
banners,2.51e-06,2.44e-06,2.05e-06,2.48e-06,2.12e-06,0.03414634
reject,5.65e-06,6.1e-06,9.23e-06,5.88e-06,7.43e-06,-0.19501625
eau,0.0,0.0,0.0,0.0,0.0,
abandoned,9.984e-05,0.00010253,9.591e-05,0.00010119,7.852e-05,-0.18131582
bd,6.3e-07,6.1e-07,5.1e-07,6.2e-07,5.3e-07,0.03921569
circles,3.767e-05,3.662e-05,3.077e-05,3.714e-05,3.183e-05,0.03444914
italic,0.0,6.1e-07,1.03e-06,3e-07,1.06e-06,0.02912621
beats,1.005e-05,1.099e-05,1.18e-05,1.052e-05,1.008e-05,-0.14576271
merry,5.02e-06,4.88e-06,4.1e-06,4.95e-06,4.24e-06,0.03414634
mil,1.88e-06,1.83e-06,1.54e-06,1.86e-06,1.59e-06,0.03246753
scuba,3.77e-06,3.66e-06,3.08e-06,3.72e-06,3.18e-06,0.03246753
gore,1.88e-06,1.22e-06,3.08e-06,1.55e-06,3.18e-06,0.03246753
complement,8.79e-06,9.15e-06,9.23e-06,8.97e-06,1.061e-05,0.14951246
cult,7.472e-05,7.568e-05,7.078e-05,7.52e-05,7.162e-05,0.01186776
dash,2.51e-06,1.83e-06,3.08e-06,2.17e-06,2.65e-06,-0.13961039
passive,4.4e-06,4.27e-06,4.62e-06,4.33e-06,7.43e-06,0.60822511
mauritius,2.135e-05,2.197e-05,2.154e-05,2.166e-05,2.228e-05,0.03435469
valued,2.323e-05,2.319e-05,2.411e-05,2.321e-05,3.608e-05,0.49647449
cage,1.381e-05,1.465e-05,1.333e-05,1.423e-05,1.326e-05,-0.00525131
checklist,6.3e-07,6.1e-07,1.03e-06,6.2e-07,1.06e-06,0.02912621
bangbus,0.0,0.0,0.0,0.0,0.0,
requesting,3.77e-06,3.05e-06,2.56e-06,3.41e-06,3.71e-06,0.44921875
courage,1.633e-05,1.587e-05,1.539e-05,1.61e-05,1.432e-05,-0.06952567
verde,1.193e-05,1.16e-05,1.231e-05,1.177e-05,1.273e-05,0.0341186
lauderdale,2.51e-06,3.66e-06,2.56e-06,3.09e-06,2.65e-06,0.03515625
scenarios,6.91e-06,6.71e-06,5.13e-06,6.81e-06,9.55e-06,0.86159844
gazette,6.91e-06,6.71e-06,6.67e-06,6.81e-06,6.37e-06,-0.04497751
hitachi,1.26e-06,1.22e-06,1.03e-06,1.24e-06,1.06e-06,0.02912621
