Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
health,89.0,122.94,120.85,117.87,113.61,115.75
n,235.0,231.13,228.26,225.38,219.05,218.04
world,424.0,410.14,406.66,416.8,424.47,419.93
re,115.0,113.11,116.05,120.7,119.07,116.65
next,100.0,99.34,103.58,103.73,107.25,105.88
used,247.0,251.79,263.75,269.7,279.04,279.06
go,85.0,85.57,87.28,87.7,85.44,84.34
b,207.0,197.69,204.29,203.69,198.14,193.81
work,318.0,316.7,317.46,312.13,305.4,307.77
last,155.0,156.38,159.21,160.31,155.43,158.82
most,313.0,311.78,309.79,305.53,299.03,302.38
products,56.0,53.11,51.79,51.86,57.26,55.63
music,309.0,306.86,299.24,291.39,282.67,278.16
buy,14.0,12.79,13.43,13.2,12.72,12.56
data,43.0,40.33,39.32,37.72,45.45,46.66
make,118.0,110.16,117.97,116.93,118.16,114.85
them,211.0,208.51,216.76,214.06,205.42,205.48
should,56.0,52.13,60.42,61.29,59.99,62.81
product,24.0,21.64,22.06,21.69,20.91,20.64
system,124.0,130.81,142.9,143.34,150.88,153.44
post,129.0,128.84,124.68,123.53,119.07,116.65
her,859.0,876.33,886.2,866.61,858.93,874.85
city,386.0,387.51,381.72,381.91,388.11,392.11
t,209.0,208.51,199.49,197.09,196.33,194.71
add,6.0,5.9,5.75,6.6,5.45,5.38
policy,33.0,40.33,41.24,42.43,49.08,45.76
number,183.0,188.84,190.86,189.54,187.24,186.64
such,240.0,238.02,242.65,245.18,248.14,246.75
please,3.0,2.95,2.88,2.83,2.73,2.69
available,57.0,55.08,53.71,58.47,62.72,61.91
copyright,0.0,0.0,0.0,0.0,0.0,0.0
support,110.0,105.24,102.62,99.01,98.16,96.01
message,18.0,17.7,21.1,21.69,20.91,20.64
after,824.0,825.19,825.78,827.95,832.57,832.68
best,250.0,251.79,248.41,248.01,253.59,256.62
software,14.0,16.72,16.3,15.09,14.54,14.36
then,334.0,324.57,328.97,322.5,328.12,328.41
jan,24.0,25.57,24.94,25.46,26.36,26.92
good,88.0,90.49,82.48,82.04,84.53,86.14
video,100.0,99.34,95.91,99.01,97.25,94.21
well,248.0,238.02,247.45,247.07,244.5,246.75
d,237.0,234.08,234.02,231.03,222.69,222.53
where,384.0,366.86,363.5,372.48,368.11,372.37
info,3.0,2.95,2.88,2.83,2.73,3.59
rights,108.0,115.07,114.13,115.99,118.16,114.85
public,172.0,179.99,190.86,192.37,191.78,185.74
books,99.0,97.37,86.32,84.87,81.8,79.86
high,353.0,346.21,327.05,330.05,327.21,331.1
school,497.0,491.77,466.12,459.24,442.64,447.74
through,256.0,266.54,252.24,258.38,264.5,259.32
m,246.0,245.89,244.57,309.3,307.21,303.28
each,135.0,144.58,144.82,144.28,152.7,155.23
links,4.0,3.93,3.84,3.77,3.64,3.59
she,869.0,890.1,883.32,865.67,860.75,874.85
review,83.0,89.5,93.03,99.01,101.8,100.5
years,388.0,389.48,396.11,394.17,401.74,399.29
order,152.0,157.37,152.5,152.77,149.06,145.36
